base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,average_entailment_score,slot_entailment_scores
"{'Abbreviation': 'Good marriage', 'Full label': '""Having a good marriage""'}",Relationship Maintenance,"Given the shared goal of 'Having a good marriage,' the social goal category of 'Relationship Maintenance' is most relevant, as it focuses on sustaining and nurturing interpersonal relationships. The personal goals for each agent should reflect their individual perspectives and motivations that contribute to this shared goal. The social roles assigned will shape their interaction styles.",To express appreciation and emotional support to strengthen the marital bond.,To actively listen and respond empathetically to foster mutual understanding and trust.,"""Having a good marriage""",Emotional Supporter,Active Listener,"{'scenario_context': ""[Agent 1] and [Agent 2] are a married couple spending a quiet evening at home after a long day. They have both expressed a desire to strengthen their marital bond and foster mutual understanding. [Agent 1], acting as the Emotional Supporter, seeks to express appreciation and emotional support to [Agent 2]. Meanwhile, [Agent 2], as the Active Listener, aims to attentively listen and respond empathetically to [Agent 1]'s expressions. The atmosphere is calm and cooperative, with both agents aligned in their shared goal of having a good marriage.""}",0.936628520488739,"{'shared_goal_score': 0.9993137121200562, 'social_goal_category_score': 0.6313444375991821, 'first_agent_goal_score': 0.9999229907989502, 'second_agent_goal_score': 0.9998420476913452, 'first_agent_role_score': 0.9926416277885437, 'second_agent_role_score': 0.9967063069343567}"
"{'Abbreviation': 'Being good looking', 'Full label': '""Being good looking""'}",Relationship Building,"The shared goal 'Being good looking' involves personal and social aspects of appearance and perception. Given that, the social goal category 'Relationship Building' is chosen because it involves forming connections based on mutual interests or goals related to appearance. Each agent will have distinct personal goals reflecting their motivation within this context. The roles assigned will shape their interaction styles.",To gain social validation and admiration by improving their appearance and discussing beauty tips with others.,To establish a trustworthy connection by offering sincere advice on appearance and fostering mutual respect.,"""Being good looking""",Seeker of Social Validation,Supportive Advisor,"{'scenario_context': ""[Agent 1] and [Agent 2] meet at a local café after signing up for a beauty and wellness workshop. The workshop focuses on tips for enhancing one's appearance and building confidence through self-care. Both agents share the goal of 'Being good looking,' but their personal motivations differ. [Agent 1] seeks social validation and admiration by improving their appearance and discussing beauty tips with others, while [Agent 2] aims to establish a trustworthy connection by offering sincere advice on appearance and fostering mutual respect. As they sit down with their coffees, the workshop facilitator hands out a booklet with beauty tips and encourages participants to pair up and discuss their routines.""}",0.9270707964897156,"{'shared_goal_score': 0.9902735948562622, 'social_goal_category_score': 0.7179340124130249, 'first_agent_goal_score': 0.9990865588188171, 'second_agent_goal_score': 0.9990293979644775, 'first_agent_role_score': 0.9903690218925476, 'second_agent_role_score': 0.8657321929931641}"
"{'Abbreviation': 'Being innovative', 'Full label': '""Changing my ways , being innovative in the way I live my life""'}",Relationship Building,"Given the shared goal of 'Changing my ways, being innovative in the way I live my life,' the social goal category 'Relationship Building' was chosen. This category is appropriate as it involves fostering new connections or deepening existing ones, which can be instrumental in supporting personal change and innovation. The personal goals for the agents are designed to reflect their unique motivations within this context, with one agent seeking guidance and mentorship, and the other focusing on inspiring and supporting change in others. Their social roles—'Seeker of Change' and 'Innovation Mentor'—complement these goals and the shared objective.",To find a mentor who can provide guidance and support in adopting innovative habits and perspectives.,To inspire and assist someone in making significant lifestyle changes by sharing knowledge and experiences.,"""Changing my ways , being innovative in the way I live my life""",Seeker of Change,Innovation Mentor,"{'scenario_context': ""[Agent 1] is a Seeker of Change who is eager to adopt innovative habits and perspectives to transform their lifestyle. They have reached out to [Agent 2], an Innovation Mentor known for their expertise in guiding individuals through significant personal changes. The two meet in a quiet, inspiring co-working space filled with plants and natural light, designed to foster creativity and open dialogue. Both agents share the common goal of '[Agent 1] changing their ways and being innovative in the way they live their life.' [Agent 1] hopes to find a mentor who can provide structured guidance and emotional support, while [Agent 2] is motivated by the opportunity to inspire and assist someone in making meaningful lifestyle changes by sharing their knowledge and personal experiences. The setting is relaxed and cooperative, with no immediate tensions, making it easy for them to align their goals and work together.""}",0.9621567924817404,"{'shared_goal_score': 0.9987125992774963, 'social_goal_category_score': 0.7854920029640198, 'first_agent_goal_score': 0.9997679591178894, 'second_agent_goal_score': 0.9999148845672607, 'first_agent_role_score': 0.9994550943374634, 'second_agent_role_score': 0.9895982146263123}"
"{'Abbreviation': 'Good parent', 'Full label': '""Being a good parent (teaching , providing , transmitting values)""'}",Relationship Building,"The shared goal 'Being a good parent' involves teaching, providing, and transmitting values, which naturally aligns with the social goal category 'Relationship Building' as it focuses on fostering strong family bonds. Additionally, 'Information Provision' is chosen as parents often need to share knowledge and guidance. The first agent's personal goal is to ensure their child learns moral values, while the second agent's goal is to ensure their child acquires practical skills. The roles of 'Moral Guide' and 'Practical Mentor' reflect these goals.",Ensure the child learns and internalizes moral values.,Ensure the child acquires practical life skills.,"""Being a good parent (teaching , providing , transmitting values)""",Moral Guide,Practical Mentor,"{'scenario_context': ""[Agent 1] and [Agent 2] are collaboratively raising a child, emphasizing the importance of both moral values and practical skills. They are planning the child's weekly activities together. [Agent 1], as the Moral Guide, wants to incorporate lessons on honesty and kindness through storytelling and role-playing. [Agent 2], as the Practical Mentor, wishes to include hands-on tasks like cooking and basic budgeting to teach responsibility and independence. Despite their different approaches, both share the overarching goal of being good parents who nurture a well-rounded individual.""}",0.949014017979304,"{'shared_goal_score': 0.9980949759483337, 'social_goal_category_score': 0.8152188658714294, 'first_agent_goal_score': 0.9994949698448181, 'second_agent_goal_score': 0.999950110912323, 'first_agent_role_score': 0.9258629083633423, 'second_agent_role_score': 0.9554622769355774}"
"{'Abbreviation': 'Education', 'Full label': '""Getting an education""'}",Information Acquisition,"The shared goal 'Getting an education' can be approached from multiple angles, but the social goal category 'Information Acquisition' is particularly relevant as it focuses on the desire to gain knowledge, which is central to education. For the first agent, a personal goal could be to 'Excel academically to secure future opportunities,' reflecting a motivation driven by ambition and future prospects. The second agent's personal goal could be 'Understand the material deeply to apply it practically,' emphasizing a more intrinsic motivation to learn. The roles assigned to the agents are 'Student' and 'Teacher,' respectively, as these roles naturally interact in an educational setting, with the student seeking to acquire information and the teacher providing guidance and knowledge.",Excel academically to secure future opportunities,Understand the material deeply to apply it practically,"""Getting an education""",Student,Teacher,"{'scenario_context': ""[Agent 1], a diligent student, seeks to excel academically to secure future opportunities by achieving top grades. [Agent 2], a dedicated teacher, aims to ensure that [Agent 1] understands the material deeply to apply it practically in real-world situations. Both share the goal of '[Agent 1] getting an education' and are meeting during office hours to discuss [Agent 1]'s recent performance on an assignment, which did not meet their expectations. The environment is cooperative, with both agents aligned in their desire to improve [Agent 1]'s academic outcomes.""}",0.9261515239874522,"{'shared_goal_score': 0.999507486820221, 'social_goal_category_score': 0.615998387336731, 'first_agent_goal_score': 0.9995987415313721, 'second_agent_goal_score': 0.9998876452445984, 'first_agent_role_score': 0.9809680581092834, 'second_agent_role_score': 0.9609488248825073}"
"{'Abbreviation': 'Being passionate', 'Full label': '""Being really passionate about something""'}",Relationship Building,We chose 'Relationship Building' as the social goal category because 'Being really passionate about something' often involves forming connections with others who share similar interests or who can appreciate one's enthusiasm. This naturally lends itself to personal goals that reflect agents seeking to understand each other's passions or express their own in a way that fosters a mutual connection.,"To express their passion in a way that inspires the other agent to share their own interests, fostering mutual enthusiasm and connection.","To actively listen and engage with the first agent's passion, demonstrating genuine interest with the aim of deepening their interpersonal relationship.","""Being really passionate about something""",Enthusiast,Supporter,"{'scenario_context': ""[Agent 1], the Enthusiast, and [Agent 2], the Supporter, meet at a local community event focused on sharing personal hobbies and interests. The event is designed to foster connections among like-minded individuals. [Agent 1] is eager to talk about their recent discovery of urban gardening, a hobby they've become deeply passionate about. Their goal is to inspire [Agent 2] to open up about their own interests, hoping to create a lively exchange of ideas. [Agent 2], who enjoys encouraging others and building deeper relationships, is genuinely interested in hearing about [Agent 1]'s passion and aims to show active engagement to strengthen their bond. The shared goal of being passionate about something creates a warm and cooperative atmosphere, making it easy for both agents to align their objectives.""}",0.9741718570391337,"{'shared_goal_score': 0.9879462122917175, 'social_goal_category_score': 0.9180037379264832, 'first_agent_goal_score': 0.9999785423278809, 'second_agent_goal_score': 0.9999827742576599, 'first_agent_role_score': 0.9568722248077393, 'second_agent_role_score': 0.9822476506233215}"
"{'Abbreviation': 'Being conventional', 'Full label': '""Maintaining conventional views , avoiding innovation""'}",Relationship Maintenance,"The chosen social goal category is 'Relationship Maintenance' because maintaining conventional views and avoiding innovation often involves reinforcing existing relationships and social norms. The agents' personal goals should reflect their motivations to uphold these conventional views while maintaining their relationships. The social roles assigned to each agent will shape how they interact, with one taking a more authoritative role to enforce norms and the other taking a supportive role to align with these norms.","To reinforce traditional norms and ensure others adhere to them, thereby maintaining social harmony.",To align with conventional views to avoid social exclusion and maintain positive relationships within the community.,"""Maintaining conventional views , avoiding innovation""",Authoritarian Enforcer,Conformist Supporter,"{'scenario_context': '[Agent 1], an Authoritarian Enforcer, and [Agent 2], a Conformist Supporter, are attending a community meeting where the topic of discussion is whether to adopt a new policy that aligns with modernization trends. Their shared goal is to maintain conventional views and avoid innovation. [Agent 1] aims to reinforce traditional norms and ensure the community adheres to them, while [Agent 2] seeks to align with conventional views to avoid social exclusion. Both are seated at a table with the meeting agenda in front of them, surrounded by other community members.'}",0.8856673439343771,"{'shared_goal_score': 0.9998108744621277, 'social_goal_category_score': 0.35934197902679443, 'first_agent_goal_score': 0.9997597336769104, 'second_agent_goal_score': 0.9744499325752258, 'first_agent_role_score': 0.9906392097473145, 'second_agent_role_score': 0.9900023341178894}"
"{'Abbreviation': 'Religious faith', 'Full label': '""Maintaining religious faith""'}",Relationship Maintenance,"We chose 'Relationship Maintenance' as the social goal category because maintaining religious faith often involves ongoing support and reinforcement within a community. This aligns with the need to sustain meaningful connections that encourage shared beliefs. Each agent's personal goal reflects their unique approach to this shared goal—one seeks validation and mutual encouragement, while the other aims to provide guidance and strengthen communal ties. Their social roles (a peer seeking support and a spiritual advisor offering it) create a dynamic where both perspectives contribute to the overarching goal.",To seek reassurance and shared experiences that reinforce their religious beliefs through emotional connection with others.,To provide structured guidance and foster a sense of communal resilience in upholding religious faith.,"""Maintaining religious faith""",Community Member (Peer),Spiritual Advisor,"{'scenario_context': 'In a small, close-knit religious community, [Agent 1], a community member seeking emotional reassurance, approaches [Agent 2], a spiritual advisor known for structured guidance, after a weekly group prayer session. The shared goal of maintaining religious faith brings them together, with [Agent 1] looking to connect personally through shared experiences and [Agent 2] aiming to offer structured advice that strengthens communal resilience. The setting is a quiet corner of the community hall, creating a peaceful atmosphere conducive to open and supportive dialogue.'}",0.8442642043034235,"{'shared_goal_score': 0.9957585334777832, 'social_goal_category_score': 0.45322683453559875, 'first_agent_goal_score': 0.999312162399292, 'second_agent_goal_score': 0.9998117685317993, 'first_agent_role_score': 0.6919706463813782, 'second_agent_role_score': 0.9255052804946899}"
"{'Abbreviation': 'Fashion', 'Full label': '""Keeping up with fashion""'}",Relationship Maintenance,"Given the shared goal 'Keeping up with fashion,' we choose 'Relationship Maintenance' as the social goal category because fashion often serves as a means to sustain and nurture social connections. The first agent's personal goal is to 'Be recognized as a trendsetter among peers,' reflecting their desire for identity recognition within the group. The second agent's personal goal is to 'Maintain harmony by adopting group-approved fashion trends,' showing their focus on group cohesion. The first agent is assigned the social role of 'Fashion Influencer,' someone who leads and sets trends, while the second agent takes the role of 'Group Follower,' someone who prefers to align with the group's fashion choices.",Be recognized as a trendsetter among peers,Maintain harmony by adopting group-approved fashion trends,"""Keeping up with fashion""",Fashion Influencer,Group Follower,"{'scenario_context': ""At a local fashion event, [Agent 1], a Fashion Influencer, and [Agent 2], a Group Follower, find themselves browsing the latest collection at a pop-up boutique. Both share the goal of 'Keeping up with fashion,' but their individual motivations differ. [Agent 1] aims to be recognized as a trendsetter among peers by selecting bold, avant-garde pieces, while [Agent 2] prefers to maintain harmony by choosing outfits that align with the group's consensus on trendy yet safe fashion choices. The event provides a lively backdrop for their interaction as they explore the racks together.""}",0.793712337811788,"{'shared_goal_score': 0.992449939250946, 'social_goal_category_score': 0.2010851502418518, 'first_agent_goal_score': 0.9995832443237305, 'second_agent_goal_score': 0.9997677206993103, 'first_agent_role_score': 0.9768829941749573, 'second_agent_role_score': 0.5925049781799316}"
"{'Abbreviation': 'Physical ability', 'Full label': '""Having physical ability , agility""'}",Cooperation,"Given the shared goal of 'Having physical ability, agility', the most relevant social goal categories are 'Cooperation' and 'Competition'. Cooperation is chosen here because improving physical ability and agility often involves teamwork, mutual support, and shared efforts, which aligns well with the essence of cooperation. The agents will have personal goals that reflect their individual motivations within this cooperative framework, and their social roles will shape how they interact to achieve both their personal and shared goals.",To improve personal agility through shared exercises and mutual feedback.,To motivate and challenge the other agent to achieve higher levels of physical ability.,"""Having physical ability , agility""",Trainee,Motivator,"{'scenario_context': ""[Agent 1], a trainee focused on improving personal agility, meets [Agent 2], a motivator, at a fitness center. The shared goal is to enhance physical ability and agility through cooperative exercises. [Agent 1] aims to improve their agility with the help of [Agent 2]'s guidance and feedback, while [Agent 2] seeks to challenge and inspire [Agent 1] to push their limits. The setting is a well-equipped gym with open space for agility drills, creating an ideal environment for their joint efforts.""}",0.9859723846117655,"{'shared_goal_score': 0.9946624636650085, 'social_goal_category_score': 0.9738460183143616, 'first_agent_goal_score': 0.9999410510063171, 'second_agent_goal_score': 0.9999086856842041, 'first_agent_role_score': 0.9740413427352905, 'second_agent_role_score': 0.9734347462654114}"
