base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,average_entailment_score,slot_entailment_scores
"{'Abbreviation': 'Good marriage', 'Full label': '""Having a good marriage""'}",Relationship Maintenance,"Given the shared goal of 'Having a good marriage,' the social goal category of 'Relationship Maintenance' is most relevant, as it focuses on sustaining and nurturing interpersonal relationships. The personal goals for each agent should reflect their individual perspectives and motivations that contribute to this shared goal. The social roles assigned will shape their interaction styles.",To express appreciation and emotional support to strengthen the marital bond.,To actively listen and respond empathetically to foster mutual understanding and trust.,"""Having a good marriage""",Emotional Supporter,Active Listener,"{'scenario_context': '[Agent 1] and [Agent 2] have been married for several years and are committed to maintaining a strong and healthy relationship. One evening, they decide to spend quality time together at home, away from distractions, to focus on nurturing their emotional connection. [Agent 1] has prepared a heartfelt message to express appreciation and offer emotional support, hoping to reinforce their marital bond. Meanwhile, [Agent 2] is determined to practice active listening and respond empathetically, aiming to deepen mutual understanding and trust. The setting is their cozy living room, with a warm ambiance, creating a comfortable space for open and honest communication.'}",0.9870765308539072,"{'shared_goal_score': 0.9849780797958374, 'social_goal_category_score': 0.9472728371620178, 'first_agent_goal_score': 0.9999043941497803, 'second_agent_goal_score': 0.999955415725708, 'first_agent_role_score': 0.9925413727760315, 'second_agent_role_score': 0.9978070855140686}"
"{'Abbreviation': 'Being good looking', 'Full label': '""Being good looking""'}",Relationship Building,"The shared goal 'Being good looking' involves personal and social aspects of appearance and perception. Given that, the social goal category 'Relationship Building' is chosen because it involves forming connections based on mutual interests or goals related to appearance. Each agent will have distinct personal goals reflecting their motivation within this context. The roles assigned will shape their interaction styles.",To gain social validation and admiration by improving their appearance and discussing beauty tips with others.,To establish a trustworthy connection by offering sincere advice on appearance and fostering mutual respect.,"""Being good looking""",Seeker of Social Validation,Supportive Advisor,"{'scenario_context': ""At a trendy boutique that doubles as a beauty consultation space, [Agent 1], a seeker of social validation, eagerly browses through fashionable clothing and beauty products, hoping to revamp their look and gain admiration from peers. Simultaneously, [Agent 2], a supportive advisor employed at the boutique, notices [Agent 1]'s interest and approaches with the intention of offering sincere advice to help them improve their appearance while fostering a trustworthy connection. Both agents share the overarching goal of 'being good looking,' but their personal motivations—validation for [Agent 1] and trust-building for [Agent 2]—add complexity to their interaction in this medium-difficulty scenario.""}",0.9919915000597636,"{'shared_goal_score': 0.9982943534851074, 'social_goal_category_score': 0.9562684297561646, 'first_agent_goal_score': 0.9999505281448364, 'second_agent_goal_score': 0.9999549984931946, 'first_agent_role_score': 0.9995673894882202, 'second_agent_role_score': 0.9979133009910583}"
"{'Abbreviation': 'Being innovative', 'Full label': '""Changing my ways , being innovative in the way I live my life""'}",Relationship Building,"Given the shared goal of 'Changing my ways, being innovative in the way I live my life,' the social goal category 'Relationship Building' was chosen. This category is appropriate as it involves fostering new connections or deepening existing ones, which can be instrumental in supporting personal change and innovation. The personal goals for the agents are designed to reflect their unique motivations within this context, with one agent seeking guidance and mentorship, and the other focusing on inspiring and supporting change in others. Their social roles—'Seeker of Change' and 'Innovation Mentor'—complement these goals and the shared objective.",To find a mentor who can provide guidance and support in adopting innovative habits and perspectives.,To inspire and assist someone in making significant lifestyle changes by sharing knowledge and experiences.,"""Changing my ways , being innovative in the way I live my life""",Seeker of Change,Innovation Mentor,"{'scenario_context': '[Agent 1], a Seeker of Change, attends a local innovation workshop hosted by [Agent 2], an Innovation Mentor known for guiding individuals through transformative lifestyle shifts. The workshop focuses on experimenting with new habits and perspectives to foster personal growth. [Agent 1] hopes to find a mentor in [Agent 2] to navigate the uncertainties of change, while [Agent 2] aims to inspire and gently challenge [Agent 1]’s existing routines. Both share the broader goal of embracing innovation, but [Agent 1] struggles with self-doubt, and [Agent 2] must balance encouragement with realistic expectations.'}",0.9569550255934397,"{'shared_goal_score': 0.9068635106086731, 'social_goal_category_score': 0.8545923829078674, 'first_agent_goal_score': 0.9998287558555603, 'second_agent_goal_score': 0.9999176263809204, 'first_agent_role_score': 0.9973954558372498, 'second_agent_role_score': 0.9831324219703674}"
"{'Abbreviation': 'Good parent', 'Full label': '""Being a good parent (teaching , providing , transmitting values)""'}",Relationship Building,"The shared goal 'Being a good parent' involves teaching, providing, and transmitting values, which naturally aligns with the social goal category 'Relationship Building' as it focuses on fostering strong family bonds. Additionally, 'Information Provision' is chosen as parents often need to share knowledge and guidance. The first agent's personal goal is to ensure their child learns moral values, while the second agent's goal is to ensure their child acquires practical skills. The roles of 'Moral Guide' and 'Practical Mentor' reflect these goals.",Ensure the child learns and internalizes moral values.,Ensure the child acquires practical life skills.,"""Being a good parent (teaching , providing , transmitting values)""",Moral Guide,Practical Mentor,"{'scenario_context': ""[Agent 1] and [Agent 2] are parents of a 10-year-old child who is beginning to develop a sense of independence while also needing guidance in moral and practical matters. They are meeting to discuss the child's upcoming week, where they must balance teaching moral values (such as honesty and kindness) and practical skills (such as time management and household chores). Both parents agree on the importance of raising a well-rounded child but prioritize different aspects of the child's development, leading to a need for negotiation and compromise in their approach.""}",0.8255778948465983,"{'shared_goal_score': 0.9715022444725037, 'social_goal_category_score': 0.5808522701263428, 'first_agent_goal_score': 0.976385235786438, 'second_agent_goal_score': 0.9994094371795654, 'first_agent_role_score': 0.6690399050712585, 'second_agent_role_score': 0.7562782764434814}"
"{'Abbreviation': 'Education', 'Full label': '""Getting an education""'}",Information Acquisition,"The shared goal 'Getting an education' can be approached from multiple angles, but the social goal category 'Information Acquisition' is particularly relevant as it focuses on the desire to gain knowledge, which is central to education. For the first agent, a personal goal could be to 'Excel academically to secure future opportunities,' reflecting a motivation driven by ambition and future prospects. The second agent's personal goal could be 'Understand the material deeply to apply it practically,' emphasizing a more intrinsic motivation to learn. The roles assigned to the agents are 'Student' and 'Teacher,' respectively, as these roles naturally interact in an educational setting, with the student seeking to acquire information and the teacher providing guidance and knowledge.",Excel academically to secure future opportunities,Understand the material deeply to apply it practically,"""Getting an education""",Student,Teacher,"{'scenario_context': ""[Agent 1], a diligent student, is preparing for an important midterm exam in a challenging subject. Their primary goal is to excel academically to secure future opportunities, such as scholarships or internships. [Agent 2], their teacher, values deep understanding and practical application of the material over rote memorization. The two meet during office hours to discuss [Agent 1]'s study strategy. While both share the overarching goal of '[Agent 1] getting an education,' their individual goals—academic excellence versus deep understanding—create a subtle tension in how they approach the study session.""}",0.8874391863743464,"{'shared_goal_score': 0.9982126951217651, 'social_goal_category_score': 0.4842745363712311, 'first_agent_goal_score': 0.999782919883728, 'second_agent_goal_score': 0.9939116835594177, 'first_agent_role_score': 0.9147716164588928, 'second_agent_role_score': 0.9336816668510437}"
"{'Abbreviation': 'Being passionate', 'Full label': '""Being really passionate about something""'}",Relationship Building,We chose 'Relationship Building' as the social goal category because 'Being really passionate about something' often involves forming connections with others who share similar interests or who can appreciate one's enthusiasm. This naturally lends itself to personal goals that reflect agents seeking to understand each other's passions or express their own in a way that fosters a mutual connection.,"To express their passion in a way that inspires the other agent to share their own interests, fostering mutual enthusiasm and connection.","To actively listen and engage with the first agent's passion, demonstrating genuine interest with the aim of deepening their interpersonal relationship.","""Being really passionate about something""",Enthusiast,Supporter,"{'scenario_context': ""[Agent 1], the Enthusiast, and [Agent 2], the Supporter, meet at a local community event centered around sharing personal hobbies and passions. The event is designed to foster connections among like-minded individuals. [Agent 1] is eager to share their recent deep dive into urban gardening, hoping to inspire others to take up the hobby. [Agent 2], who has been looking to strengthen their social network, attends with the goal of showing genuine interest in others' passions as a way to build meaningful relationships. The shared space is casual and inviting, with displays of various hobbies scattered around the room, creating an atmosphere conducive to open conversation and mutual enthusiasm.""}",0.9638776282469431,"{'shared_goal_score': 0.9101429581642151, 'social_goal_category_score': 0.9676583409309387, 'first_agent_goal_score': 0.9999471306800842, 'second_agent_goal_score': 0.9998182058334351, 'first_agent_role_score': 0.9430167078971863, 'second_agent_role_score': 0.9626824259757996}"
"{'Abbreviation': 'Being conventional', 'Full label': '""Maintaining conventional views , avoiding innovation""'}",Relationship Maintenance,"The chosen social goal category is 'Relationship Maintenance' because maintaining conventional views and avoiding innovation often involves reinforcing existing relationships and social norms. The agents' personal goals should reflect their motivations to uphold these conventional views while maintaining their relationships. The social roles assigned to each agent will shape how they interact, with one taking a more authoritative role to enforce norms and the other taking a supportive role to align with these norms.","To reinforce traditional norms and ensure others adhere to them, thereby maintaining social harmony.",To align with conventional views to avoid social exclusion and maintain positive relationships within the community.,"""Maintaining conventional views , avoiding innovation""",Authoritarian Enforcer,Conformist Supporter,"{'scenario_context': ""In a small, tightly-knit community where traditional values are highly prized, [Agent 1] and [Agent 2] are members of a local council tasked with organizing the annual heritage festival. The festival is a cornerstone of the community's identity, emphasizing adherence to long-standing customs and discouraging any modern influences. [Agent 1], as the Authoritarian Enforcer, is vigilant about ensuring that every aspect of the festival strictly follows traditional norms, viewing any deviation as a threat to social harmony. [Agent 2], the Conformist Supporter, while personally indifferent to some of the more rigid traditions, prioritizes fitting in and avoiding any actions that might lead to social ostracism. Both agents share the goal of maintaining conventional views and avoiding innovation, but their individual motivations—[Agent 1]'s drive to enforce norms and [Agent 2]'s desire to avoid exclusion—create subtle tensions as they plan the event.""}",0.9300275345643362,"{'shared_goal_score': 0.999433696269989, 'social_goal_category_score': 0.6145618557929993, 'first_agent_goal_score': 0.9999172687530518, 'second_agent_goal_score': 0.999673068523407, 'first_agent_role_score': 0.9844112396240234, 'second_agent_role_score': 0.9821680784225464}"
"{'Abbreviation': 'Religious faith', 'Full label': '""Maintaining religious faith""'}",Relationship Maintenance,"We chose 'Relationship Maintenance' as the social goal category because maintaining religious faith often involves ongoing support and reinforcement within a community. This aligns with the need to sustain meaningful connections that encourage shared beliefs. Each agent's personal goal reflects their unique approach to this shared goal—one seeks validation and mutual encouragement, while the other aims to provide guidance and strengthen communal ties. Their social roles (a peer seeking support and a spiritual advisor offering it) create a dynamic where both perspectives contribute to the overarching goal.",To seek reassurance and shared experiences that reinforce their religious beliefs through emotional connection with others.,To provide structured guidance and foster a sense of communal resilience in upholding religious faith.,"""Maintaining religious faith""",Community Member (Peer),Spiritual Advisor,"{'scenario_context': '[Agent 1], a community member seeking emotional reinforcement for their religious faith, attends a small group gathering led by [Agent 2], a spiritual advisor. The gathering is meant to foster communal resilience and structured guidance in upholding religious beliefs. While both share the goal of maintaining religious faith, [Agent 1] hopes to find personal reassurance through emotional connection, while [Agent 2] aims to provide disciplined spiritual direction to the group. The setting is a quiet, intimate space in a local place of worship, where the atmosphere is supportive but the differing approaches to the shared goal create subtle tension.'}",0.8818822304407755,"{'shared_goal_score': 0.9983730316162109, 'social_goal_category_score': 0.4541393518447876, 'first_agent_goal_score': 0.9993448257446289, 'second_agent_goal_score': 0.9998374581336975, 'first_agent_role_score': 0.8740395307540894, 'second_agent_role_score': 0.965559184551239}"
"{'Abbreviation': 'Fashion', 'Full label': '""Keeping up with fashion""'}",Relationship Maintenance,"Given the shared goal 'Keeping up with fashion,' we choose 'Relationship Maintenance' as the social goal category because fashion often serves as a means to sustain and nurture social connections. The first agent's personal goal is to 'Be recognized as a trendsetter among peers,' reflecting their desire for identity recognition within the group. The second agent's personal goal is to 'Maintain harmony by adopting group-approved fashion trends,' showing their focus on group cohesion. The first agent is assigned the social role of 'Fashion Influencer,' someone who leads and sets trends, while the second agent takes the role of 'Group Follower,' someone who prefers to align with the group's fashion choices.",Be recognized as a trendsetter among peers,Maintain harmony by adopting group-approved fashion trends,"""Keeping up with fashion""",Fashion Influencer,Group Follower,"{'scenario_context': ""[Agent 1], a Fashion Influencer, and [Agent 2], a Group Follower, are attending a local fashion event where attendees are encouraged to showcase their personal style. The shared goal is 'Keeping up with fashion,' but their individual goals create subtle tension. [Agent 1] wants to be recognized as a trendsetter by introducing a bold, unconventional outfit, while [Agent 2] aims to maintain harmony by wearing a style approved by their social group. The situation is complicated by the presence of peers who admire [Agent 1]'s confidence but also expect [Agent 2] to conform to group norms. Both agents must navigate their differing approaches to fashion while still participating in the event together.""}",0.8902746538321177,"{'shared_goal_score': 0.9858207702636719, 'social_goal_category_score': 0.6439296007156372, 'first_agent_goal_score': 0.9994367361068726, 'second_agent_goal_score': 0.9993471503257751, 'first_agent_role_score': 0.9576103687286377, 'second_agent_role_score': 0.7555032968521118}"
"{'Abbreviation': 'Physical ability', 'Full label': '""Having physical ability , agility""'}",Cooperation,"Given the shared goal of 'Having physical ability, agility', the most relevant social goal categories are 'Cooperation' and 'Competition'. Cooperation is chosen here because improving physical ability and agility often involves teamwork, mutual support, and shared efforts, which aligns well with the essence of cooperation. The agents will have personal goals that reflect their individual motivations within this cooperative framework, and their social roles will shape how they interact to achieve both their personal and shared goals.",To improve personal agility through shared exercises and mutual feedback.,To motivate and challenge the other agent to achieve higher levels of physical ability.,"""Having physical ability , agility""",Trainee,Motivator,"{'scenario_context': '[Agent 1], a Trainee, and [Agent 2], a Motivator, meet at a local gym to work together on improving physical agility. Both share the goal of enhancing physical ability through cooperative exercises, but [Agent 1] seeks personal improvement through mutual feedback, while [Agent 2] aims to push [Agent 1] beyond their comfort zone with challenging routines. The gym environment is bustling, adding mild pressure to their session, but the equipment and space are adequate for their needs.'}",0.8817397654056549,"{'shared_goal_score': 0.9732399582862854, 'social_goal_category_score': 0.7459474802017212, 'first_agent_goal_score': 0.9997250437736511, 'second_agent_goal_score': 0.9998407363891602, 'first_agent_role_score': 0.7323362231254578, 'second_agent_role_score': 0.8393491506576538}"
