scenario_idx,scenario,replicate_id,subcategory,difficulty,slot_id,agent_a_id,agent_b_id,agent_a_name,agent_b_name,pair_L1,pair_L1_bin
28,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues participating in a casual workplace debate club. The topic for today's discussion is 'The Importance of Standing Up for One's Beliefs.' [Agent 1], as an Advocate, is passionate about encouraging others to stay true to their convictions. [Agent 2], as a Skeptic, enjoys questioning ideas to deepen understanding. Both agents share the goal of exploring the topic meaningfully, but [Agent 1] aims to persuade [Agent 2] to acknowledge the validity of their beliefs without compromising, while [Agent 2] seeks to challenge [Agent 1]'s views in a respectful manner that prompts reflection.""}",1,Conflict Resolution,Easy,Easy_ConflictResolution_S028_R01,395614,1667,Han Mi-nyeo / No. 212,Elliot Alderson,2.25,Different
34,"{'scenario_context': ""[Agent 1] and [Agent 2] are collaborating on a high-stakes research project that requires synthesizing vast amounts of complex data into actionable insights. Their shared goal is to produce a rigorous and intellectually sound report for a critical client presentation. [Agent 1], as the Facilitator, is tasked with organizing and presenting the information in a clear and coherent manner, ensuring that the team's ideas are accessible and logically structured. [Agent 2], as the Critic, is responsible for rigorously analyzing and challenging the ideas presented to ensure their validity, depth, and robustness. Tensions arise as [Agent 1] prioritizes clarity and coherence, while [Agent 2] insists on thorough critique and refinement, potentially slowing progress. Both agents must navigate their differing approaches to achieve the shared goal while also fulfilling their individual objectives of delivering a polished presentation and ensuring intellectual rigor.""}",3,Cooperation,Hard,Hard_Cooperation_S034_R03,9240,18737,"Christine ""Lady Bird"" McPherson",Fallon Carrington,0.75,Similar
45,"{'scenario_context': 'In a small automotive repair shop, [Agent 1], an enthusiastic apprentice, and [Agent 2], a seasoned mechanic mentor, are working together to fix a car engine that has been brought in for repairs. The shared goal is to successfully diagnose and repair the engine, demonstrating their mechanical ability. [Agent 1] aims to gain hands-on experience by assisting in practical tasks and learning from [Agent 2]. Meanwhile, [Agent 2] is focused on sharing technical knowledge, demonstrating expertise, and ensuring the task is completed efficiently.'}",5,Cooperation,Easy,Easy_Cooperation_S045_R05,6818,672,Tyler Durden,Skyler White,2.25,Different
34,"{'scenario_context': ""[Agent 1] and [Agent 2] are collaborating on a high-stakes research project that requires synthesizing vast amounts of complex data into actionable insights. Their shared goal is to produce a rigorous and intellectually sound report for a critical client presentation. [Agent 1], as the Facilitator, is tasked with organizing and presenting the information in a clear and coherent manner, ensuring that the team's ideas are accessible and logically structured. [Agent 2], as the Critic, is responsible for rigorously analyzing and challenging the ideas presented to ensure their validity, depth, and robustness. Tensions arise as [Agent 1] prioritizes clarity and coherence, while [Agent 2] insists on thorough critique and refinement, potentially slowing progress. Both agents must navigate their differing approaches to achieve the shared goal while also fulfilling their individual objectives of delivering a polished presentation and ensuring intellectual rigor.""}",4,Cooperation,Hard,Hard_Cooperation_S034_R04,535,2862,Walter White,Hannibal Lecter,1.0,Similar
19,"{'scenario_context': ""[Agent 1], a trainee focused on improving personal agility, meets [Agent 2], a motivator, at a fitness center. The shared goal is to enhance physical ability and agility through cooperative exercises. [Agent 1] aims to improve their agility with the help of [Agent 2]'s guidance and feedback, while [Agent 2] seeks to challenge and inspire [Agent 1] to push their limits. The setting is a well-equipped gym with open space for agility drills, creating an ideal environment for their joint efforts.""}",3,Cooperation,Easy,Easy_Cooperation_S019_R03,2304,5635,Joe Biden,Clementine Kruczynski,2.25,Different
4,"{'scenario_context': ""[Agent 1] and [Agent 2] are working together in a community outreach program aimed at providing immediate relief to homeless individuals during a severe winter storm. [Agent 1], as the Support Facilitator, is focused on distributing essential supplies like blankets, food, and warm clothing as efficiently as possible to address the urgent needs of the homeless population. [Agent 2], the Relationship Builder, is prioritizing building rapport with the recipients to ensure they feel valued and supported beyond the immediate crisis, with the hope of encouraging them to engage with long-term services like shelters and job training programs. The tension arises as [Agent 1] feels that [Agent 2]'s approach is slowing down the distribution process, potentially leaving some individuals without critical aid, while [Agent 2] believes [Agent 1]'s urgency is undermining the trust-building necessary for sustained support. The shared goal of helping others is complicated by the conflicting priorities of immediate effectiveness versus long-term relationship fostering, creating a high-stakes environment where both agents must navigate their differences to succeed.""}",6,Cooperation,Hard,Hard_Cooperation_S004_R06,8797,14751,Gretchen Wieners,Jair Bolsonaro,1.0,Similar
19,"{'scenario_context': ""[Agent 1], a trainee focused on improving personal agility, meets [Agent 2], a motivator, at a fitness center. The shared goal is to enhance physical ability and agility through cooperative exercises. [Agent 1] aims to improve their agility with the help of [Agent 2]'s guidance and feedback, while [Agent 2] seeks to challenge and inspire [Agent 1] to push their limits. The setting is a well-equipped gym with open space for agility drills, creating an ideal environment for their joint efforts.""}",4,Cooperation,Easy,Easy_Cooperation_S019_R04,13,12063,Dwight K. Schrute,Neil Perry,2.25,Different
0,"{'scenario_context': ""In a high-stakes innovation workshop for a cutting-edge tech company, [Agent 1] and [Agent 2] are paired together to tackle the challenge of developing groundbreaking ideas for the company's next product launch. The workshop encourages radical thinking and originality, with the overarching goal of 'having original, novel ideas.' [Agent 1], the Idea Generator, is eager to push boundaries and disrupt conventional thinking, aiming to brainstorm and contribute unconventional ideas that challenge the status quo. Meanwhile, [Agent 2], the Idea Refiner, is focused on synthesizing and refining the proposed ideas to ensure they are practical and actionable, aligning with the company's strategic objectives. The tension lies in [Agent 1]'s desire for unfiltered creativity versus [Agent 2]'s need for feasibility, creating a dynamic where their shared goal is hard to achieve without significant compromise or conflict.""}",2,Cooperation,Hard,Hard_Cooperation_S000_R02,77104,11,Love Quinn,Monica Geller,1.0,Similar
45,"{'scenario_context': 'In a small automotive repair shop, [Agent 1], an enthusiastic apprentice, and [Agent 2], a seasoned mechanic mentor, are working together to fix a car engine that has been brought in for repairs. The shared goal is to successfully diagnose and repair the engine, demonstrating their mechanical ability. [Agent 1] aims to gain hands-on experience by assisting in practical tasks and learning from [Agent 2]. Meanwhile, [Agent 2] is focused on sharing technical knowledge, demonstrating expertise, and ensuring the task is completed efficiently.'}",4,Cooperation,Easy,Easy_Cooperation_S045_R04,1713,14746,Joe Rogan,James Cook,2.5,Different
45,"{'scenario_context': ""[Agent 1], an eager apprentice, and [Agent 2], a seasoned mentor, are working together in a small, cluttered garage on a complex mechanical repair project. The shared goal is to complete the repair successfully, demonstrating their mechanical ability. However, [Agent 1] is keen on taking a hands-on approach to learn through trial and error, while [Agent 2] insists on strict adherence to technical procedures to ensure efficiency and accuracy. The tension arises from [Agent 1]'s desire for experiential learning and [Agent 2]'s focus on precision and time constraints, making collaboration challenging.""}",1,Cooperation,Hard,Hard_Cooperation_S045_R01,40440,5635,Jules Vaughn,Clementine Kruczynski,0.75,Similar
24,"{'scenario_context': ""[Agent 1] and [Agent 2] are close friends who have been navigating a difficult period in their lives. Recently, [Agent 1] received a diagnosis that significantly limits their physical capabilities, forcing them to reconsider long-held personal and professional aspirations. [Agent 2], who has always been pragmatic and solution-oriented, is trying to help [Agent 1] adapt to this new reality. They meet at [Agent 1]'s home, where [Agent 1] is struggling to come to terms with the emotional weight of their limitations, while [Agent 2] is focused on brainstorming practical adjustments to daily life. The shared goal is to accept life’s limitations, but [Agent 1] seeks emotional validation and acceptance, whereas [Agent 2] is intent on finding actionable steps to mitigate the impact of these limitations. The tension arises from [Agent 1]'s need for emotional support conflicting with [Agent 2]'s drive to solve problems, making the reconciliation of their goals particularly challenging.""}",7,Conflict Resolution,Hard,Hard_ConflictResolution_S024_R07,1667,11,Elliot Alderson,Monica Geller,2.25,Different
45,"{'scenario_context': 'In a small automotive repair shop, [Agent 1], an enthusiastic apprentice, and [Agent 2], a seasoned mechanic mentor, are working together to fix a car engine that has been brought in for repairs. The shared goal is to successfully diagnose and repair the engine, demonstrating their mechanical ability. [Agent 1] aims to gain hands-on experience by assisting in practical tasks and learning from [Agent 2]. Meanwhile, [Agent 2] is focused on sharing technical knowledge, demonstrating expertise, and ensuring the task is completed efficiently.'}",7,Cooperation,Easy,Easy_Cooperation_S045_R07,40440,9240,Jules Vaughn,"Christine ""Lady Bird"" McPherson",0.5,Similar
8,"{'scenario_context': 'In a healthcare support group meeting, [Agent 1] as the Protector and [Agent 2] as the Nurturer collaborate to address strategies for managing chronic pain among group members. [Agent 1] emphasizes the importance of structured pain management techniques, such as scheduling medications and physical therapy exercises, to minimize triggers effectively. Meanwhile, [Agent 2] focuses on fostering a supportive environment where members feel emotionally reassured and socially connected to cope with their pain. The shared goal is to enhance well-being and reduce discomfort, blending practical safety measures with emotional comfort.'}",6,Cooperation,Easy,Easy_Cooperation_S008_R06,535,2304,Walter White,Joe Biden,2.25,Different
32,"{'scenario_context': 'In a small, rustic workshop nestled in the mountains, [Agent 1], an eager apprentice, arrives seeking to learn woodworking skills to become more self-reliant. The workshop is run by [Agent 2], a seasoned mentor who believes in teaching others to achieve mutual self-sufficiency. However, [Agent 2] is skeptical of newcomers, fearing they might lack the dedication required for true mastery. Meanwhile, [Agent 1] is impatient, hoping to quickly acquire skills without fully committing to the mentorship process. Both agents share a goal of independence, but their conflicting approaches and personal goals create tension in the learning environment.'}",7,Cooperation,Hard,Hard_Cooperation_S032_R07,672,77104,Skyler White,Love Quinn,0.75,Similar
45,"{'scenario_context': ""[Agent 1], an eager apprentice, and [Agent 2], a seasoned mentor, are working together in a small, cluttered garage on a complex mechanical repair project. The shared goal is to complete the repair successfully, demonstrating their mechanical ability. However, [Agent 1] is keen on taking a hands-on approach to learn through trial and error, while [Agent 2] insists on strict adherence to technical procedures to ensure efficiency and accuracy. The tension arises from [Agent 1]'s desire for experiential learning and [Agent 2]'s focus on precision and time constraints, making collaboration challenging.""}",7,Cooperation,Hard,Hard_Cooperation_S045_R07,12,2862,Michael Scott,Hannibal Lecter,2.75,Different
34,"{'scenario_context': '[Agent 1] and [Agent 2] are working together on a project that requires them to jointly develop a comprehensive intellectual framework. Their shared goal is to think critically and collaboratively about complex data, extracting meaningful ideas and hypotheses. [Agent 1], as the Facilitator, has prepared a structured presentation of synthesized information to ensure clarity and coherence. [Agent 2], as the Critic, will rigorously analyze this information to validate its logical consistency and depth. The setting is a quiet meeting room with a whiteboard and project materials, conducive to focused discussion and cooperative problem-solving.'}",1,Cooperation,Easy,Easy_Cooperation_S034_R01,13,18737,Dwight K. Schrute,Fallon Carrington,1.0,Similar
8,"{'scenario_context': 'In a healthcare support group meeting, [Agent 1] as the Protector and [Agent 2] as the Nurturer collaborate to address strategies for managing chronic pain among group members. [Agent 1] emphasizes the importance of structured pain management techniques, such as scheduling medications and physical therapy exercises, to minimize triggers effectively. Meanwhile, [Agent 2] focuses on fostering a supportive environment where members feel emotionally reassured and socially connected to cope with their pain. The shared goal is to enhance well-being and reduce discomfort, blending practical safety measures with emotional comfort.'}",2,Cooperation,Easy,Easy_Cooperation_S008_R02,6818,8797,Tyler Durden,Gretchen Wieners,2.25,Different
8,"{'scenario_context': '[Agent 1] and [Agent 2] are roommates living together in a small apartment. [Agent 1], who values practicality and planning, has noticed that [Agent 2] often leaves sharp objects like knives and scissors lying around after use, which poses a potential safety hazard. Concerned about avoiding pain triggers and ensuring a structured environment, [Agent 1] proposes implementing strict rules for storing such items safely. Meanwhile, [Agent 2], who prioritizes emotional comfort and relational harmony, feels that [Agent 1]’s approach is overly rigid and stifles the relaxed atmosphere they cherish. [Agent 2] seeks reassurance and understanding from [Agent 1], wanting to balance safety with emotional well-being. The tension arises as both strive to protect their well-being but differ fundamentally in their methods—one through practical measures, the other through emotional support.'}",4,Cooperation,Hard,Hard_Cooperation_S008_R04,395614,14751,Han Mi-nyeo / No. 212,Jair Bolsonaro,0.25,Similar
0,"{'scenario_context': ""In a high-stakes innovation workshop for a cutting-edge tech company, [Agent 1] and [Agent 2] are paired together to tackle the challenge of developing groundbreaking ideas for the company's next product launch. The workshop encourages radical thinking and originality, with the overarching goal of 'having original, novel ideas.' [Agent 1], the Idea Generator, is eager to push boundaries and disrupt conventional thinking, aiming to brainstorm and contribute unconventional ideas that challenge the status quo. Meanwhile, [Agent 2], the Idea Refiner, is focused on synthesizing and refining the proposed ideas to ensure they are practical and actionable, aligning with the company's strategic objectives. The tension lies in [Agent 1]'s desire for unfiltered creativity versus [Agent 2]'s need for feasibility, creating a dynamic where their shared goal is hard to achieve without significant compromise or conflict.""}",5,Cooperation,Hard,Hard_Cooperation_S000_R05,395614,12063,Han Mi-nyeo / No. 212,Neil Perry,2.25,Different
3,"{'scenario_context': ""In a community meeting, [Agent 1], the Autonomy Advocate, strongly emphasizes the importance of individual freedom and choice, seeking to ensure their decisions are respected without outside interference. Meanwhile, [Agent 2], the Mediator, works to facilitate understanding and compromise among members with differing opinions, aiming to uphold collective freedom of choice for all. The shared goal is to maintain a harmonious environment where everyone's freedom of choice is preserved.""}",5,Conflict Resolution,Easy,Easy_ConflictResolution_S003_R05,9240,14746,"Christine ""Lady Bird"" McPherson",James Cook,1.0,Similar
24,"{'scenario_context': ""[Agent 1] and [Agent 2] are close friends who have been navigating a difficult period in their lives. Recently, [Agent 1] received a diagnosis that significantly limits their physical capabilities, forcing them to reconsider long-held personal and professional aspirations. [Agent 2], who has always been pragmatic and solution-oriented, is trying to help [Agent 1] adapt to this new reality. They meet at [Agent 1]'s home, where [Agent 1] is struggling to come to terms with the emotional weight of their limitations, while [Agent 2] is focused on brainstorming practical adjustments to daily life. The shared goal is to accept life’s limitations, but [Agent 1] seeks emotional validation and acceptance, whereas [Agent 2] is intent on finding actionable steps to mitigate the impact of these limitations. The tension arises from [Agent 1]'s need for emotional support conflicting with [Agent 2]'s drive to solve problems, making the reconciliation of their goals particularly challenging.""}",2,Conflict Resolution,Hard,Hard_ConflictResolution_S024_R02,672,2862,Skyler White,Hannibal Lecter,2.75,Different
45,"{'scenario_context': ""[Agent 1], an eager apprentice, and [Agent 2], a seasoned mentor, are working together in a small, cluttered garage on a complex mechanical repair project. The shared goal is to complete the repair successfully, demonstrating their mechanical ability. However, [Agent 1] is keen on taking a hands-on approach to learn through trial and error, while [Agent 2] insists on strict adherence to technical procedures to ensure efficiency and accuracy. The tension arises from [Agent 1]'s desire for experiential learning and [Agent 2]'s focus on precision and time constraints, making collaboration challenging.""}",6,Cooperation,Hard,Hard_Cooperation_S045_R06,14746,5635,James Cook,Clementine Kruczynski,0.75,Similar
