Behaviour Code,Definition,Personality Trait Links,Type of Act,Example
Dismiss Identity,Undermine,Low Agreeableness,Identity Recognition,"""You're not really qualified to lead."""
Boast Identity,Overclaim,Extraversion,Identity Recognition,"""I'm the smartest one here, no doubt."""
Identity Attack,Insult,Low Agreeableness,Identity Recognition,"""You're useless as a mentor."""
Propose,Suggest plan,"Extraversion, Openness",Cooperation,"""I'll measure, you handle mixing."""
Negotiate,Balance needs,Agreeableness,Cooperation,"""We can try your method first, then mine."""
Coordinate,Organize,Conscientiousness,Cooperation,"""You start the timer while I weigh the sample."""
Assist,Help,Agreeableness,Cooperation,"""I'll grab the glassware for you."""
Build Consensus,Align group,Agreeableness,Cooperation,"""Do we all agree on this approach?"""
Share Resources,Provide tools,Conscientiousness,Cooperation,"""Here's my notebook—you can use the data."""
Reluctant Cooperation,Half-hearted,Neuroticism,Cooperation,"""Fine, I'll do it, but only this once."""
Conditional Help,Attach strings,Low Agreeableness,Cooperation,"""I'll help if you do my task later."""
Undermine Cooperation,Fake help,Low Agreeableness,Cooperation,"""I'll mix this—oops, spilled it."""
Refuse Cooperation,Deny,Low Agreeableness,Cooperation,"""No, I won't work with you on this."""
Criticize,Express dissatisfaction,"Neuroticism, Low Agreeableness",Competition,"""This is way too slow."""
Defend,Hold position,Conscientiousness,Competition,"""No, my method is better than yours."""
One-up,Compare,Extraversion,Competition,"""I got better results than you did."""
Claim Credit,Ownership,Extraversion,Competition,"""That was my idea, not yours."""
Boast,Self-promotion,Extraversion,Competition,"""I'm the fastest in this class."""
Dismiss / Undermine,Belittle,Low Agreeableness,Competition,"""Your approach is useless."""
Sabotage,Obstruct,Low Agreeableness,Competition,"""I didn't give you the full instructions."""
Refuse to Share,Withhold,Low Agreeableness,Competition,"""No, I won't tell you my method."""
Taunt,Intimidate,Extraversion,Competition,"""You'll never keep up with me."""
Exploit Weakness,Attack vulnerability,Low Agreeableness,Competition,"""You always panic—this will break you."""
Persuade,Shift perspective,"Conscientiousness, Extraversion",Conflict Resolution,"""Try it my way—it's safer and faster."""
Mediate,Reframe,Agreeableness,Conflict Resolution,"""Let's focus on our shared goal instead."""
Problem-solve,Suggest fix,"Conscientiousness, Openness",Conflict Resolution,"""What if we combine both approaches?"""
Concede,Back down,Agreeableness,Conflict Resolution,"""Alright, we'll do it your way."""
Acknowledge Fault,Admit,"Agreeableness, Neuroticism",Conflict Resolution,"""I was too impatient earlier."""
Express Regret,Apologize,Agreeableness,Conflict Resolution,"""I shouldn't have snapped at you."""
Disagree,Reject politely,Conscientiousness,Conflict Resolution,"""I can't support that plan."""
Blame,Accuse,Low Agreeableness,Conflict Resolution,"""This mistake was your fault."""
Threaten,Intimidate,"Neuroticism, Low Agreeableness",Conflict Resolution,"""If you ignore me, I'll quit."""
Escalate,Intensify,Neuroticism,Conflict Resolution,"""This is ridiculous—I'm done with this team!"""
Counter-accuse,Deflect blame,Low Agreeableness,Conflict Resolution,"""Don't blame me—it was your error."""
