shared_goal,base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,agent1_role,agent2_role,scenario,difficulty
"""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""","{'Abbreviation': 'Cause', 'Full label': '""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""'}",Cooperation,"The shared goal 'Being committed to a cause' aligns best with 'Cooperation' as the agents are working together towards a common environmental objective. However, their personal goals reflect different social intentions within this cooperation: one agent seeks to inspire and motivate through emotional connection (relationship building), while the other aims to strategically persuade through logical argumentation (information provision). This creates an interesting dynamic where both work towards the same cause but through distinct interpersonal approaches.","To inspire the other agent through emotional appeals and personal stories about environmental loss, making them feel more deeply connected to the cause.","To persuade the other agent through logical arguments and factual evidence about environmental impact, making them more analytically convinced of the cause's importance.",Passionate Advocate,Strategic Planner,"{'scenario_context': ""Two colleagues meet in a cramped conference room at a small environmental nonprofit to finalize the public messaging for an imminent city-wide campaign. The organization's limited budget, an upcoming city council vote, and pressure from skeptical donors create high stakes that force a choice between a bold, emotional outreach and a measured, evidence-based strategy. [Agent 1], the Passionate Advocate, intends to center personal stories of environmental loss and vivid emotional appeals to deepen public commitment; [Agent 2], the Strategic Planner, insists on fact-driven messaging, impact metrics, and targeted data to persuade undecided stakeholders. Both share the goal of showing committed support for the cause, but conflicting methods, time pressure, and board scrutiny make agreement and mutual influence difficult."", 'explanation': ""This setup foregrounds a cooperative shared goal (commitment to the environmental cause) while specifying distinct personal goals: [Agent 1] seeks emotional inspiration, [Agent 2] seeks analytical persuasion. The situation introduces realistic constraints (budget, deadlines, skeptical audiences, board oversight) that raise tension and make the agents' aims hard to achieve. It emphasizes interpersonal dynamics where dispositional tendencies (emotional advocacy vs. strategic analysis) will interact with situational pressures, setting the stage for observable attributional interpretations and conflict over motives and tactics.""}",Hard
"""Being better than others, beating others""","{'Abbreviation': 'Being better than others', 'Full label': '""Being better than others, beating others""'}",Competition,"The shared goal 'Being better than others, beating others' aligns most closely with the Competition category, as it directly involves striving to outperform or surpass another individual. In this competitive context, Agent 1's personal goal is to assert dominance and establish superiority through conversational control, while Agent 2's goal is to undermine the other's confidence to gain psychological advantage. The roles of 'Confident Challenger' and 'Strategic Underminer' reflect these contrasting approaches to competition.",To assert conversational dominance and establish superiority over the other agent through confident assertions and controlling the dialogue flow,To subtly undermine the other agent's confidence and perceived competence through strategic questioning and indirect challenges,Confident Challenger,Strategic Underminer,"{'scenario_context': ""In a tightly timed evaluative meeting where peer standing is being decided, [Agent 1] and [Agent 2] are positioned opposite each other with a small window to influence a panel of colleagues. The interaction revolves around an ambiguously judged task that invites interpretation rather than clear metrics. Both share the competitive aim of being judged superior to others, but pursue it differently: [Agent 1] attempts to establish conversational dominance through confident assertions, rapid topic control, and directing turn-taking; [Agent 2] seeks to erode [Agent 1]'s perceived competence by posing pointed, leading questions and making indirect challenges that cast doubt without overt confrontation. The evaluative pressure, ambiguous evidence, presence of observers, and limited speaking opportunities create high tension and make both claiming and undermining status difficult and likely to produce sharp, attribution-laden exchanges."", 'explanation': ""This setup foregrounds conflict between dispositional strategies (assertive dominance vs. subtle undermining) and situational pressures (ambiguous performance, audience evaluation, scarce speaking time). It is calibrated to be hard because the shared competitive goal increases motivation to signal superiority while ambiguity allows each agent to reinterpret the other's behavior in dispositional terms, heightening mistrust and escalation. The scenario is designed to elicit attributional processes (e.g., observers attributing confidence to ability or to aggressive self-promotion; attributions of incompetence following subtle challenges) so subsequent dialogue can reveal how situational cues and personality-driven tactics interact.""}",Hard
"""Having physical ability, agility""","{'Abbreviation': 'Physical ability', 'Full label': '""Having physical ability, agility""'}",Cooperation,"The shared goal 'Having physical ability, agility' is best aligned with the 'Cooperation' category because it implies a joint effort to develop or maintain a physical skill, which requires mutual support, coordination, and collaborative interaction between the agents.","To motivate the other agent through positive reinforcement and encouragement, fostering a supportive environment for skill development.","To seek validation and reassurance from the other agent about their progress and capabilities, reducing self-doubt.",Supportive Coach,Aspiring Trainee,"{'scenario_context': ""[Agent 1] is acting as a supportive coach working with [Agent 2], an aspiring trainee, on short, cooperative agility drills. [Agent 2] is attempting a new sequence of movements and feels uncertain about their technique and progress; they look to [Agent 1] for reassurance and clear indicators of improvement. [Agent 1]'s role is to provide positive reinforcement, specific encouragement, and simple, achievable targets to build confidence. Both agents share the immediate goal of increasing physical ability and agility through guided practice, with interaction centered on encouragement, feedback, and validation rather than critique or evaluation."", 'explanation': 'This setup prioritizes cooperative, attainable goals: developing agility through guided practice. It aligns with roles—[Agent 1] focuses on motivation and positive reinforcement, [Agent 2] seeks validation and reassurance—creating a low-conflict, supportive dynamic. The scene is designed to elicit encouragement, concrete praise, and requests for feedback, making attributional responses (internalizing progress versus attributing difficulty to lack of ability) easy to observe.'}",Easy
"""Having flexibility of viewpoint, being broad-minded, open""","{'Abbreviation': 'Flexibility', 'Full label': '""Having flexibility of viewpoint, being broad-minded, open""'}",Information Acquisition,"The shared goal of 'Having flexibility of viewpoint, being broad-minded, open' aligns most closely with the 'Information Acquisition' category. This is because the core of being open-minded involves actively seeking out and considering new information, perspectives, and evidence that may challenge one's own pre-existing beliefs. This process is fundamental to achieving genuine flexibility of thought. Agent 1's personal goal is to actively solicit and understand the other's differing perspective, embodying the role of an Inquisitive Learner. Agent 2's personal goal is to cautiously test the other's receptiveness before sharing a vulnerable perspective, embodying the role of a Cautious Contributor. Their goals are distinct yet complementary, focusing on the seeking and tentative offering of information, which drives the interaction toward the shared goal.","To actively solicit and understand the other agent's differing perspective on a contentious issue by asking probing, open-ended questions that demonstrate genuine curiosity.","To cautiously test the other agent's openness and receptivity by introducing a novel but vulnerable perspective in a gradual, measured way, gauging reactions before elaborating further.",Inquisitive Learner,Cautious Contributor,"{'scenario_context': ""After a recent public meeting in which they clashed over a divisive policy, [Agent 1] and [Agent 2] have agreed to a private one-on-one to try to 'understand each other' and remain open-minded. Both endorse flexibility of viewpoint, but the prior public disagreement, differing social identities, and reputational stakes make the exchange fragile. [Agent 1], as an inquisitive learner, plans to solicit and understand [Agent 2]'s differing perspective with probing, open-ended questions while avoiding anything that might be taken as interrogation. [Agent 2], as a cautious contributor, intends to introduce a novel, personally vulnerable angle gradually—testing receptivity and withdrawing if responses suggest judgment or dismissal. Implicit observers, time pressure, and the possibility of being quoted later create a high-tension environment where curiosity and guardedness may collide."", 'explanation': ""The scenario is hard because prior public conflict, social identity differences, and reputational risk create strong motives for defensiveness and impression management, making genuine openness difficult. These situational pressures put [Agent 1]'s question strategy and [Agent 2]'s tentative disclosures at cross-purposes: probing can feel intrusive, and gradual vulnerability can be misread as evasiveness. The setup therefore challenges the shared goal of broad-mindedness and forces both agents to balance information-seeking with careful monitoring of cues and attributions (intentionality, sincerity, threat).""}",Hard
"""Being happy, content with myself, having inner harmony, freedom from inner conflict""","{'Abbreviation': 'Content with myself', 'Full label': '""Being happy, content with myself, having inner harmony, freedom from inner conflict""'}",Conflict Resolution,"The shared goal focuses on achieving inner harmony and freedom from conflict, which aligns best with 'Conflict Resolution' as the social goal category. This category involves addressing and resolving interpersonal tensions that could disrupt inner peace. For Agent 1, the personal goal is to seek validation for their emotional perspective, reflecting a desire to be understood and reduce internal conflict. For Agent 2, the personal goal is to provide empathetic listening and reassurance, aiming to support the other's emotional needs and foster a harmonious interaction. The roles 'Seeker of Validation' and 'Supportive Listener' complement these goals by defining their social positions in the interaction.",Seek validation for their emotional perspective to feel understood and reduce internal conflict.,Provide empathetic listening and reassurance to support the other's emotional needs and foster harmony.,Seeker of Validation,Supportive Listener,"{'scenario_context': ""In a private, emotionally charged conversation after a recent argument about [Agent 1]'s major life decision, [Agent 1] seeks out [Agent 2] to be heard. [Agent 1] is visibly conflicted—torn between self-doubt, guilt, and a deep need for their feelings and perspective to be acknowledged to reduce inner turmoil. [Agent 2] has taken the supportive listener role and intends to offer empathetic listening and reassurance, but both bring a history of subtle miscommunications: previous attempts at comfort were sometimes experienced as minimization, and underlying differences in values create implicit judgmental cues. Both want to arrive at greater inner harmony and mutual calm, yet emotional intensity, fear of being misunderstood, and the listener's concern about saying the wrong thing make validation and genuine reconciliation difficult to achieve in this interaction."", 'explanation': ""This setup places two agents in a high-tension conflict-resolution context where the shared goal is inner harmony. Agent 1's personal goal (seeking validation to reduce internal conflict) is explicit and creates vulnerability that requires careful responding. Agent 2's goal (providing empathetic listening and reassurance) is cooperative but challenged by prior miscommunication, implicit value differences, and fear of triggering further distress. These dispositional traits (need for external validation, supportive but cautious listening style) interact with situational factors (recent argument, emotional intensity, time pressure, and history of perceived minimization) to make achieving the shared and individual goals difficult, yielding realistic opportunities for attributional processes (e.g., interpreting intent, assigning blame, seeking affirmation) to shape the forthcoming interaction.""}",Hard
"""Maintaining conventional views, avoiding innovation""","{'Abbreviation': 'Being conventional', 'Full label': '""Maintaining conventional views, avoiding innovation""'}",Relationship Maintenance,"The shared goal 'Maintaining conventional views, avoiding innovation' is best aligned with the 'Relationship Maintenance' category. This is because the core of the goal is to preserve the status quo and existing social harmony by reinforcing shared traditional values, which is a key aspect of maintaining relationships. Agent 1's personal goal is to persuade the other agent to reaffirm their commitment to these views, reflecting a proactive effort to solidify the relationship's foundation. Agent 2's personal goal is to seek reassurance from the other agent, reflecting a more passive, security-seeking motivation that also serves to maintain the relationship by confirming mutual alignment.",To persuade the other agent to explicitly reaffirm their commitment to the conventional viewpoint.,To seek reassurance from the other agent that their shared conventional views are correct and secure.,Traditionalist Advocate,Anxious Conformist,"{'scenario_context': 'Briefly alone together before a public decision about whether to adopt a proposed change, [Agent 1] and [Agent 2] both aim to preserve the established, conventional position and avoid innovation. [Agent 1], the Traditionalist Advocate, wants to secure an explicit, public reaffirmation from [Agent 2]; [Agent 2], the Anxious Conformist, seeks reassurance that their shared conventional views are correct and that backing them won’t incur social costs. The exchange is tense because visible proponents of change have raised practical concerns about the old way and peers will notice any hesitation; an explicit pledge would reduce ambiguity but increase reputational exposure. The situation centers on persuasion, reassurance, and the risk that ambiguous motives or doubt will be interpreted as weakness or disloyalty.', 'explanation': 'This setup places dispositional tendencies (Agent 1’s assertive traditionalism and Agent 2’s anxiety-driven conformity) into a high-pressure social context (peer scrutiny, evidence favoring change, reputational risk). Those factors make the shared and individual goals hard to achieve: Agent 1’s push for public commitment may be seen as coercive rather than principled, and Agent 2’s requests for reassurance can appear evasive. These ambiguities create fertile ground for attributional processes—each agent may infer intent (stable trait vs. situational constraint) from limited cues—heightening tension and complicating straightforward persuasion or reassurance.'}",Hard
"""Experiencing personal growth""","{'Abbreviation': 'Personal growth', 'Full label': '""Experiencing personal growth""'}",Identity Recognition,"The shared goal 'Experiencing personal growth' aligns with 'Identity Recognition' because personal growth often involves self-reflection, understanding one's evolving identity, and seeking validation or recognition of that growth from others. This category focuses on how individuals perceive and affirm each other's identities, which is central to the personal growth process.",To seek validation for their recent efforts and changes by steering the conversation toward topics that highlight their personal development.,To encourage self-reflection in the other by asking probing questions that challenge them to articulate their growth journey.,Seeker of Validation,Reflective Guide,"{'scenario_context': 'In a planned one-on-one check-in, [Agent 1] (Seeker of Validation) has asked to meet to highlight recent personal changes and steer the discussion toward evidence of growth; [Agent 2] (Reflective Guide) has agreed to listen and to prompt deeper self-reflection with open, probing questions. Both enter the conversation cooperatively, aiming to experience personal growth and to recognize shifts in [Agent 1]’s identity.', 'explanation': 'This setup centers a cooperative interaction (Easy difficulty) where the shared goal is experiencing personal growth and identity recognition. [Agent 1]’s individual goal is to obtain validation by emphasizing their development; [Agent 2]’s individual goal is to encourage self-examination through questions. The scene focuses on interpersonal dynamics—seeking affirmation versus prompting reflection—without environmental detail, making the goals attainable in a short conversation.'}",Easy
"""Being close to my spouse""","{'Abbreviation': 'Close spouse', 'Full label': '""Being close to my spouse""'}",Relationship Maintenance,"The shared goal 'Being close to my spouse' aligns most closely with 'Relationship Maintenance' as it focuses on preserving and nurturing an existing intimate bond. For Agent 1, the personal goal is to seek emotional reassurance through validation, reflecting a need for security in the relationship. For Agent 2, the personal goal is to demonstrate care through attentive listening, reflecting a supportive and nurturing approach. The roles 'Seeker of Reassurance' and 'Attentive Supporter' complement these goals by defining their interactive stances.",To seek emotional reassurance by prompting the spouse to validate their importance in the relationship.,To demonstrate care and attentiveness by actively listening and responding empathetically to the spouse's concerns.,Seeker of Reassurance,Attentive Supporter,"{'scenario_context': '[Agent 1] and [Agent 2] sit down to talk after several small but accumulating incidents over the past week that left [Agent 1] feeling overlooked. Both want to be close, but [Agent 1]—seeking emotional reassurance—will prompt [Agent 2] for clear validation of their importance in the relationship, framing concerns in terms of feeling unprioritized. [Agent 2], cast as an attentive supporter, genuinely intends to listen and respond empathically but is emotionally drained and worried that any response might be taken as defensive or insufficient. The exchange is tense: prior ambiguity and recent criticism make signals ambiguous, so reassurance-seeking and empathic responses risk being misinterpreted, complicating the mutual goal of restoring closeness.', 'explanation': ""This setup aligns the shared goal (being close) with opposing challenges: [Agent 1]'s need for explicit validation versus [Agent 2]'s limited emotional resources and fear of being blamed. Situational stressors (accumulated slights, fatigue) and dispositional tendencies (sensitivity to rejection; desire to be supportive but guarded) create a high-difficulty interaction where attributional errors—seeing partner behavior as stable lack of care versus temporary stress—are likely, increasing the chance of miscommunication and making both individual and shared goals harder to achieve.""}",Hard
"""Pursuing my ideals, fighting for things I believe in""","{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals, fighting for things I believe in""'}",Identity Recognition,"The shared goal 'Pursuing my ideals, fighting for things I believe in' is best aligned with the 'Identity Recognition' category. This is because the core of this pursuit is often about having one's deeply held values and beliefs seen, validated, and acknowledged by others. The interaction focuses on whether each agent's personal ideals are recognized by the other, creating a scenario ripe for exploring attribution theory as agents interpret each other's support or opposition through their own dispositional and situational lenses.",To persuade the other agent to validate their core ideal as morally correct.,To assert their own contrasting ideal without directly invalidating the other's perspective.,The Idealist,The Pragmatist,"{'scenario_context': ""[Agent 1] and [Agent 2] are seated at a community coalition meeting where the group must endorse a public campaign statement by the end of the session. Both are long-time members of the coalition and staunch about different principles: [Agent 1] frames the campaign as a moral crusade demanding uncompromising language and direct action to signal what they believe is the ethically correct stance; [Agent 2] favors a pragmatic, incremental strategy that frames the same aims in compromise-ready, strategically viable terms. The immediate shared task is to produce a single statement that reflects the coalition's identity and will be presented publicly; failure risks internal splintering and loss of external support. Social stakes are high (public visibility, reputational consequences, and a pending vote), so each person seeks identity recognition in different ways: [Agent 1] wants explicit moral validation of their ideal, while [Agent 2] intends to assert their contrasting ideal as equally legitimate without overtly dismissing [Agent 1]. The setting forces them to negotiate under time pressure, with other members watching, creating tension between defending core beliefs and preserving group cohesion."", 'explanation': ""This setup is hard because deeply held moral identities collide with situational constraints (time pressure, public audience, group vote), producing identity threat and strong motivational incentives to control impressions. [Agent 1]'s dispositional idealism drives a demand for moral validation; [Agent 2]'s dispositional pragmatism drives subtle assertion and face-saving. The scenario invites attributional processes (e.g., interpreting the other's motives as principled versus strategic), reactive devaluation, and impression management strategies, making mutual goals (a unified public statement) difficult to achieve without nuanced persuasion, concession, or perceived loss of identity. It therefore foregrounds how dispositional traits and contextual pressures interact to shape causal attributions and interpersonal behavior.""}",Hard
"""Protecting my well-being, avoiding pain""","{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being, avoiding pain""'}",Conflict Resolution,"The shared goal 'Protecting my well-being, avoiding pain' aligns most closely with 'Conflict Resolution' as it involves managing interpersonal tensions that could threaten individual well-being. Agent 1's personal goal focuses on asserting boundaries to prevent emotional harm, while Agent 2's goal centers on de-escalating tension to maintain harmony. Their roles as 'Assertive Defender' and 'Harmony Seeker' reflect complementary approaches to resolving conflict while protecting their respective well-being.",To assert personal boundaries firmly to prevent the other from causing emotional distress.,To de-escalate potential tension by adopting a conciliatory tone to avoid reciprocal harm.,Assertive Defender,Harmony Seeker,"{'scenario_context': ""[Agent 1] and [Agent 2] must address a recurring interpersonal problem with the shared aim of protecting their emotional well‑being and avoiding further pain. [Agent 1], in the role of Assertive Defender, plans to set a firm boundary—limiting topics, calling out past harms, and making clear consequences—to prevent emotional distress. [Agent 2], as Harmony Seeker, intends to de‑escalate by responding in a conciliatory tone, offering compromise and reassurance to avoid reciprocal hurt. Tension is high because [Agent 1]'s direct boundary-setting risks being read by [Agent 2] as blame or attack, while [Agent 2]'s conciliatory moves risk being perceived by [Agent 1] as minimization or evasion; both must negotiate limits and reassurance without triggering the very behaviors they aim to prevent."", 'explanation': ""This setup foregrounds a hard conflict-resolution scenario: opposing interaction styles (assertiveness vs. conciliation) and a history of hurt make the shared goal difficult. It is psychologically grounded in attribution dynamics—each agent's dispositional tendencies and their interpretation of the other's intent can produce misattributions (intentionality vs. accidental), defensive escalation, or perceived invalidation—creating realistic obstacles to both protecting wellbeing and resolving the issue.""}",Hard
"""Having freedom (being a free person)""","{'Abbreviation': 'Being free', 'Full label': '""Having freedom (being a free person)""'}",Identity Recognition,"The shared goal 'Having freedom (being a free person)' aligns most closely with the 'Identity Recognition' social goal category. This category focuses on individuals seeking acknowledgment, validation, or understanding of their self-concept, values, or autonomy—core aspects of personal freedom. The personal goals are designed to reflect distinct social intentions: one agent aims to assert their independence and have it validated, while the other seeks to understand the boundaries and meaning of that freedom to build trust. The roles ('Assertive Individualist' and 'Inquisitive Confidant') create a dynamic where one advocates for their autonomy while the other explores it through supportive inquiry, fostering a scenario ripe for attribution processes as each interprets the other's behavior through dispositional and situational lenses.",To assert one's own autonomy and have it recognized as valid by the other agent.,To understand the boundaries and motivations behind the other's desire for freedom to build a foundation of trust.,Assertive Individualist,Inquisitive Confidant,"{'scenario_context': '[Agent 1] tells [Agent 2] they want more personal freedom in how they allocate time and make small decisions within their shared arrangements. The moment is framed as a cooperative renegotiation: [Agent 1] intends to assert their autonomy and have that choice respected, while [Agent 2], inquisitive and attentive, wants to understand the motivations and boundaries behind this desire so they can trust that the relationship will remain respectful. Both prioritize preserving individual freedom and mutual trust and will calmly work together to set clear expectations and boundaries.', 'explanation': ""This setup centers on the shared goal of 'having freedom' within an interpersonal context and fits the Identity Recognition category by focusing on being seen and accepted for autonomous choices. [Agent 1] (Assertive Individualist) seeks validation of autonomy; [Agent 2] (Inquisitive Confidant) aims to learn the reasons and limits to build trust. The scenario is easy: goals are compatible and attainable through open communication and boundary-setting. It emphasizes social dynamics (attribution of motives, boundary negotiation) rather than environmental detail and serves as a neutral prompt for a subsequent cooperative dialogue.""}",Easy
"""Devoting time to amusements, having recreation, entertainment, hobbies""","{'Abbreviation': 'Hobbies', 'Full label': '""Devoting time to amusements, having recreation, entertainment, hobbies""'}",Cooperation,"The shared goal 'Devoting time to amusements, having recreation, entertainment, hobbies' aligns most closely with the 'Cooperation' category, as it involves agents working together to achieve a mutually enjoyable recreational activity. However, their personal goals reflect distinct social intentions within this cooperative framework. Agent 1 aims to subtly guide the interaction towards their preferred activity while maintaining harmony, while Agent 2 seeks to understand and validate their partner's preferences to strengthen their bond.",To gently steer the conversation towards choosing a recreational activity that aligns with their personal preferences while ensuring the other agent feels heard and included.,"To actively listen for and affirm the other agent's suggestions and excitement, prioritizing shared enjoyment and mutual satisfaction over a specific activity choice.",Subtle Influencer,Attentive Validator,"{'scenario_context': ""[Agent 1] and [Agent 2] are preparing to decide how to spend a free afternoon together with the shared aim of engaging in recreation and amusements. [Agent 1], in the Subtle Influencer role, proposes activity options that reflect their personal preferences but frames them as open suggestions and invites [Agent 2]'s reactions so the other person feels listened to. [Agent 2], in the Attentive Validator role, focuses on listening, affirming what they like about [Agent 1]'s ideas, and steering the choice toward what will be enjoyable for both rather than insisting on a particular option."", 'explanation': ""This scene establishes a low-conflict, cooperative decision about leisure (Easy difficulty). The shared goal (mutual recreation) is clear. [Agent 1]'s interpersonal strategy (gentle steering while including the partner) and [Agent 2]'s validating, compromise-oriented stance are explicitly specified to guide their upcoming interaction.""}",Easy
"""Being likeable, making friends, drawing others near""","{'Abbreviation': 'Being likeable', 'Full label': '""Being likeable, making friends, drawing others near""'}",Relationship Building,"The shared goal 'Being likeable, making friends, drawing others near' aligns most closely with the 'Relationship Building' category, as it focuses on initiating and developing positive social connections. For Agent 1, the personal goal is to project warmth and approachability through supportive language, aiming to create an immediate sense of rapport. For Agent 2, the personal goal is to seek validation and reassurance through self-disclosure, aiming to test the other's acceptance and build trust. The roles 'The Affirmative Connector' and 'The Cautious Sharer' complement these goals by defining distinct social positions—one outwardly focused on fostering positivity, the other inwardly focused on gauging safety in vulnerability.",To project warmth and approachability by using supportive and encouraging language to make the other agent feel comfortable and valued.,To seek validation and reassurance by cautiously sharing personal information and gauging the other agent's acceptance and responsiveness.,The Affirmative Connector,The Cautious Sharer,"{'scenario_context': 'Two people are paired for a brief, low-stakes conversation intended to build rapport after a group activity. Both aim to come across as likable and to open a friendly connection: [Agent 1] will actively project warmth and approachability through supportive, encouraging responses and open questions, while [Agent 2] will cautiously share a small personal detail to gauge acceptance and seek reassurance before deeper self-disclosure. The exchange is cooperative, with both parties oriented toward making the other feel comfortable and valued.', 'explanation': ""The scene deliberately aligns a dispositional tendency to affirm (Agent 1) with a cautious, validation-seeking orientation (Agent 2) in a permissive, low-pressure situation. Because goals are congruent and attainable, Agent 1's supportive language is likely to be perceived as genuine warmth and reduce social risk for Agent 2, prompting incremental self-disclosure. Agent 2's guarded sharing functions as a test of acceptance, giving Agent 1 opportunities to provide reassurance. Expect behaviors such as encouraging affirmations, open-ended questions, tentative personal disclosures, signs of appreciation, and brief reassurances — all of which reveal how situational cues and dispositional styles interact to shape attributions about intent and likability.""}",Easy
"""Belonging to social groups, feeling like part of a group""","{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups, feeling like part of a group""'}",Relationship Building,"The shared goal 'Belonging to social groups, feeling like part of a group' aligns most closely with the 'Relationship Building' category. This category focuses on establishing new social connections and fostering a sense of inclusion, which is the core of the shared goal. Agent 1's personal goal is to seek validation and reassurance from the other agent to confirm their place in the group, while Agent 2's goal is to actively include and make the other agent feel welcomed and valued. Their roles as the 'Anxious Newcomer' and 'Established Welcomer' create a dynamic where their distinct social intentions—seeking reassurance and providing inclusion—interact to pursue the shared goal of belonging.",To seek reassurance and validation from the other agent that they are accepted and belong within the group.,"To actively include and make the other agent feel welcomed, valued, and an integral part of the group.",Anxious Newcomer,Established Welcomer,"{'scenario_context': '[Agent 1] is a recently accepted member of a tight-knit volunteer team and is attending their first collaborative planning meeting where membership decisions will be informally observed. Anxious about fitting in and aware of prior subtle exclusions in similar groups, [Agent 1] seeks overt reassurance that they are genuinely accepted and belongs. [Agent 2], a respected, long-standing member tasked with integrating newcomers, intends to actively include [Agent 1], highlight their contributions, and signal that they are valued. The group atmosphere is guarded: a skeptical subgroup watches interactions closely, time for one-on-one reassurance is limited, and many gestures of welcome could be interpreted as either genuine inclusion or mere courtesy — creating pressure and ambiguous social cues that complicate straightforward acceptance.', 'explanation': 'This setup creates high difficulty by combining [Agent 1]’s dispositional social anxiety and sensitivity to exclusion with situational constraints (a surveilling clique, time pressure, and ambiguous signals). [Agent 1]’s need for explicit validation risks misattributing warm behavior to pity or politeness, while [Agent 2] must balance authentic inclusion with managing others’ impressions and limited opportunity to reassure. The scenario foregrounds attributional ambiguity, potential defensive attributions from [Agent 1], and the challenge for [Agent 2] to communicate inclusion convincingly under social scrutiny.'}",Hard
"""Being spontaneous""","{'Abbreviation': 'Being spontaneous', 'Full label': '""Being spontaneous""'}",Relationship Building,"The shared goal 'Being spontaneous' aligns most closely with Relationship Building, as spontaneity often involves creating novel, authentic connections and breaking from routine to strengthen interpersonal bonds. This category focuses on developing rapport through unplanned, genuine interactions.",To encourage the other to break from their usual routines and embrace unpredictability in the moment.,To assess whether the other's spontaneity feels authentic and trustworthy rather than impulsive or reckless.,Spontaneity Advocate,Cautious Evaluator,"{'scenario_context': 'Two acquaintances agree to spend a few hours doing something unplanned to strengthen their connection. [Agent 1], the Spontaneity Advocate, offers quick, offbeat options and gently encourages [Agent 2] to step outside habitual choices; [Agent 2], the Cautious Evaluator, is willing to go along but closely observes whether each suggestion feels authentic, considerate, and safe rather than simply impulsive. Their shared aim is to be spontaneous to build rapport, while [Agent 1] nudges for unpredictability and [Agent 2] assesses its trustworthiness.', 'explanation': 'This low-stakes scene centers on cooperative relationship-building: both agents want spontaneity but pursue complementary subgoals. [Agent 1] pushes for breaking routines, and [Agent 2] monitors authenticity and risk, creating simple, realistic interpersonal dynamics. Difficulty is Easy because the goals align and can be met through modest, low-risk choices and mutual accommodation.'}",Easy
"""Appreciating the arts""","{'Abbreviation': 'Arts', 'Full label': '""Appreciating the arts""'}",Relationship Building,"The shared goal 'Appreciating the arts' is best aligned with 'Relationship Building' as it involves a shared experience that can foster mutual understanding, emotional connection, and rapport between individuals. For Agent 1, the personal goal is to seek validation for their artistic interpretation, which reflects a desire for social affirmation and to feel understood. For Agent 2, the personal goal is to challenge and deepen the other's perspective, which reflects an intention to stimulate intellectual growth and engagement rather than simply agreeing. These goals are distinct, socially interactive, and measurable through conversational tone (e.g., seeking agreement vs. provocative questioning). The roles 'Enthusiastic Novice' and 'Critical Connoisseur' align with these goals and the art appreciation context.",To seek validation for their interpretation of the art to feel a sense of shared understanding and connection.,To challenge and deepen the other's perspective on the art to stimulate a more meaningful and insightful discussion.,Enthusiastic Novice,Critical Connoisseur,"{'scenario_context': 'Two people engage in a brief, cooperative exchange about a work of art. [Agent 1], an enthusiastic novice, offers a personal interpretation and is implicitly seeking validation and a sense of shared understanding to feel connected. [Agent 2], a critical connoisseur, listens with interest but intends to gently challenge and probe that interpretation to deepen the discussion and encourage a more nuanced view. Both prioritize appreciating the art and strengthening their interpersonal connection through an open, respectful dialogue in which [Agent 1] seeks affirmation and [Agent 2] aims to stimulate insight.', 'explanation': ""This context positions [Agent 1] and [Agent 2] with the shared goal of 'Appreciating the arts' within a relationship-building frame. It clearly states each agent's role and personal goal: [Agent 1] (Enthusiastic Novice) seeks validation and shared understanding; [Agent 2] (Critical Connoisseur) seeks to challenge and deepen the other's perspective. The scene is cooperative and low-tension (Easy level), making the shared and individual goals easily attainable and suitable for generating a grounded conversational interaction.""}",Easy
"""Accomplishing difficult things""","{'Abbreviation': 'Difficult things', 'Full label': '""Accomplishing difficult things""'}",Cooperation,"The shared goal 'Accomplishing difficult things' inherently requires joint effort and coordination between individuals to overcome challenges. This aligns most closely with the 'Cooperation' category, as it focuses on working together interdependently to achieve a common objective. The personal goals are designed to reflect distinct social motivations that drive cooperative behavior—one agent seeks to build consensus and shared understanding, while the other aims to maintain momentum and task focus. These goals are interactionally measurable through conversational cues like tone, reassurance, and directive language, without relying on explicit task completion or external validation.",To foster a sense of mutual confidence and reduce the other's anxiety about the challenge.,To maintain forward progress by minimizing distractions and keeping focus on actionable steps.,Supportive Partner,Pragmatic Driver,"{'scenario_context': '[Agent 1] and [Agent 2] are co-leading the final push to complete a highly complex project deliverable with tight, nonnegotiable deadlines and visible stakeholders watching. They must present coherent, high-quality results together, but rising uncertainty about technical details and limited time have increased stress. [Agent 1] adopts a supportive stance, trying to reduce anxiety, reinforce mutual confidence, and keep morale steady; [Agent 2] adopts a pragmatic stance, cutting side discussions, enforcing a strict agenda, and pressing for concrete next steps. The interaction centers on negotiating reassurance versus efficiency under pressure as they try to cooperate to accomplish a difficult shared goal.', 'explanation': ""This setup creates high tension because time pressure, technical uncertainty, and stakeholder scrutiny make success hard. It cleanly maps the shared goal (accomplishing difficult things) and each agent's personal goals: [Agent 1] focuses on emotional regulation and building confidence, while [Agent 2] prioritizes task momentum and minimizing distractions. The scenario yields realistic conflict between dispositional supportiveness and situationally driven pragmatism, ideal for examining attribution and interpersonal dynamics.""}",Hard
