base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role
"{'Abbreviation': 'Being affectionate', 'Full label': '""Being affectionate toward others""'}",Relationship Building,"The chosen social goal category 'Relationship Building' aligns well with the shared goal of 'Being affectionate toward others', as affection is often a cornerstone in forming new social bonds. Each agent's personal goal reflects their unique motivation within this context, with Agent 1 seeking reassurance and Agent 2 aiming to initiate a caring friendship. Their roles—Friend Seeking Comfort and New Friend Offering Support—shape their interactions to be complementary while pursuing both personal and shared goals.",To receive emotional reassurance from the other agent through affectionate gestures.,To establish a caring friendship by showing consistent affection.,"""Being affectionate toward others""",Friend Seeking Comfort,New Friend Offering Support
"{'Abbreviation': 'Being respected', 'Full label': '""Being respected by others""'}",Identity Recognition,"Given the shared goal 'Being respected by others', the social goal category 'Identity Recognition' aligns well as it involves individuals seeking acknowledgment and validation of their social identity, which directly relates to gaining respect. The agents' personal goals reflect different aspects of how they might seek respect—one by demonstrating competence, the other by showcasing moral integrity.",To be respected by demonstrating expertise and competence in a professional domain.,To be respected by exhibiting strong moral principles and ethical behavior.,"""Being respected by others""",Expert Professional,Ethical Advocate
"{'Abbreviation': 'Mechanical ability', 'Full label': '""Having mechanical ability""'}",Cooperation,"Given the shared goal of 'Having mechanical ability', the social goal category 'Cooperation' was chosen. This category aligns well with the scenario where both agents aim to achieve mechanical proficiency together. The first agent's personal goal is to 'master repairing car engines', reflecting a specific aspect of mechanical ability, while the second agent's personal goal is to 'become proficient in assembling bicycles', representing another facet of mechanical skills. The roles assigned—'experienced mechanic' and 'hobbyist builder'—complement each other, facilitating cooperative learning.",master repairing car engines,become proficient in assembling bicycles,"""Having mechanical ability""",experienced mechanic,hobbyist builder
"{'Abbreviation': 'Job', 'Full label': '""Having a job I really like""'}",Cooperation,"For the shared goal 'Having a job I really like,' the social goal category 'Cooperation' is selected because it emphasizes collaboration and joint efforts to achieve success and satisfaction in their professional lives. This category aligns well with interpersonal dynamics where individuals work together to create an environment conducive to enjoying their jobs. Each agent's personal goal reflects their distinct perspective, allowing us to evaluate how effectively they contribute to the shared goal during their interaction. The roles assigned—'Mentor' and 'Protégé'—create a dynamic that fosters mutual growth and satisfaction in their careers.",Solicit guidance and resources from peers to enhance job performance and satisfaction.,Share expertise and encouragement to reinforce their sense of competence and value.,"""Having a job I really like""",Protégé,Mentor
"{'Abbreviation': 'Seeking equality', 'Full label': '""Being involved in seeking equality , brotherhood , equal opportunity for all""'}",Cooperation,"The chosen social goal category 'Cooperation' aligns well with the shared goal of seeking equality, brotherhood, and equal opportunity for all, as it emphasizes working together towards a common good. The personal goals reflect distinct motivations: one agent focuses on mobilizing the community to challenge systemic inequalities, while the other aims to educate others on unconscious biases to foster inclusivity. These goals can be evaluated based on the effectiveness of their strategies within a conversation. The roles of Activist and Educator complement each other, as one drives action while the other provides knowledge.",To mobilize community members to actively challenge systemic inequalities and advocate for policy changes.,To educate others about unconscious biases and promote inclusive behaviors in everyday interactions.,"""Being involved in seeking equality , brotherhood , equal opportunity for all""",Community Activist,Diversity Educator
"{'Abbreviation': 'Being carefree', 'Full label': '""Being lighthearted , carefree , enjoying life""'}",Relationship Building,"To investigate attribution theory in a lighthearted and carefree context, we chose 'Relationship Building' as the social goal category. This allows agents to form new social bonds while enjoying life, reflecting how dispositional traits (e.g., extroversion, agreeableness) and situational factors (e.g., shared activities) shape their interactions.",To find a shared hobby or interest that excites both agents and fosters a sense of camaraderie.,"To create a memorable, fun-filled interaction that leaves the other agent eager to socialize again.","""Being lighthearted , carefree , enjoying life""","The Enthusiast (an outgoing, curious agent who loves exploring new activities)",The Vibemaker (a charismatic agent who thrives on spreading joy and creating positive experiences)
"{'Abbreviation': 'Control of environment', 'Full label': '""Being in control of the environment""'}",Competition,"To investigate attribution theory in social psychology, we selected the social goal category 'Competition' as it directly relates to the shared goal of 'Being in control of the environment'. Competition naturally involves agents striving for dominance or control, which aligns with the shared goal. Each agent's personal goal reflects their motivation to assert control, but from different perspectives—one through strategic dominance and the other through expertise and authority. Their roles as 'Strategic Planner' and 'Expert Advisor' shape their interactions, with the former focusing on tactical maneuvers and the latter on influencing through knowledge.",Assert dominance in decision-making to ensure the environment aligns with personal strategic preferences.,Establish authority by leveraging expertise to steer environmental control decisions.,"""Being in control of the environment""",Strategic Planner,Expert Advisor
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others , cooperating , giving support""'}",Cooperation,"The chosen social goal category is 'Cooperation', as it aligns closely with the shared goal of 'Helping others, cooperating, giving support'. Cooperation involves working together towards a common purpose, which is central to the shared goal. To reflect distinct personal goals, the first agent aims to provide emotional support, focusing on empathy and understanding, while the second agent aims to offer practical solutions, focusing on problem-solving. These personal goals allow for evaluation based on how effectively each agent contributes to the shared goal through their unique approaches. The roles assigned—'Counselor' for the first agent and 'Coordinator' for the second—reflect their respective focuses on emotional and practical aspects of support.",To provide emotional support and validation to the other agent.,To identify practical solutions and actionable steps for the shared goal.,"""Helping others , cooperating , giving support""",Counselor,Coordinator
"{'Abbreviation': 'Sharing feelings', 'Full label': '""Sharing feelings with close friends""'}",Relationship Maintenance,"Given the shared goal of 'Sharing feelings with close friends,' the most relevant social goal category is 'Relationship Maintenance.' Sharing feelings typically strengthens emotional bonds and reinforces trust, which aligns with maintaining relationships.",Seek emotional validation from the close friend by sharing personal feelings to strengthen trust.,Provide empathetic support and reassurance to reinforce emotional bonds.,"""Sharing feelings with close friends""",The Confider (an individual seeking comfort or understanding),The Supporter (a nurturing figure offering encouragement)
"{'Abbreviation': 'Novel ideas', 'Full label': '""Having original , novel ideas""'}",Cooperation,"To investigate attribution theory through role-playing agents, we selected the 'Cooperation' social goal category for the shared goal 'Having original, novel ideas'. Cooperation is ideal because it involves a joint effort where both agents must contribute creatively, allowing us to observe how dispositional traits (e.g., openness, competence) and situational factors (e.g., roles) influence their attributions and behaviors in achieving originality.",To contribute unique perspectives that stand out and are acknowledged by the other agent.,To synthesize and build upon the other agent's ideas to create novel solutions.,"""Having original , novel ideas""","Idea Generator (high openness, seeks recognition)","Idea Refiner (high conscientiousness, values practicality)"
"{'Abbreviation': 'Others’ trust', 'Full label': '""Having others’ trust""'}",Relationship Building,"The shared goal 'Having others’ trust' aligns well with the 'Relationship Building' category, as trust is foundational to forming and deepening interpersonal connections. In this context, we simulate two agents with distinct personal goals reflecting their perspectives on trust-building. Agent 1 aims to demonstrate reliability through consistent actions, appealing to those who value dependability. Agent 2 seeks emotional openness to foster vulnerability-based trust, targeting individuals who prioritize emotional connection. The roles of 'Mentor' and 'Confidant' create complementary dynamics—one guides while the other shares—allowing both dispositional (e.g., competence vs. warmth) and situational factors (e.g., power differential) to influence their attribution patterns.",Demonstrate reliability through consistent actions to earn trust,Foster trust by encouraging emotional openness and mutual vulnerability,"""Having others’ trust""",Mentor,Confidant
"{'Abbreviation': 'Career', 'Full label': '""Having a career""'}",Cooperation,"For the shared goal 'Having a career,' I selected 'Cooperation' as the social goal category because pursuing a career often involves collaboration and mutual support between individuals. Each agent's personal goal reflects their unique perspective on achieving career success, with one focusing on mentorship and learning, and the other on collaboration and networking. The roles of 'Mentor' and 'Colleague' were chosen to shape their interactions, emphasizing guidance and partnership, respectively.",To find a mentor who can provide guidance and help navigate career challenges.,To establish a professional relationship that offers mutual benefits and networking opportunities.,"""Having a career""",Mentor,Colleague
"{'Abbreviation': 'Feeling meshed', 'Full label': '""Having emotional intimacy , feeling really meshed with another""'}",Relationship Building,"To study how attribution theory applies in emotionally intimate interactions, we selected 'Relationship Building' as the social goal category because it aligns closely with the shared goal of achieving emotional intimacy. The personal goals are designed to reflect complementary perspectives—one agent seeks validation to deepen intimacy, while the other aims to foster trust, creating a dynamic interplay of motivations. Their roles ('Vulnerable Seeker' and 'Supportive Listener') shape their interaction styles to test how dispositional and situational factors influence social behavior.",To feel emotionally validated by sharing personal thoughts and receiving affirming responses,To create a safe space for openness by actively listening and demonstrating empathy,"""Having emotional intimacy , feeling really meshed with another""",Vulnerable Seeker,Supportive Listener
"{'Abbreviation': 'World beauty', 'Full label': '""Experiencing a world of beauty (going to museums , concerts , being with nature)""'}",Relationship Building,"We chose 'Relationship Building' as the social goal category because experiencing beauty together (e.g., museums, concerts) often serves as a foundation for forming new social connections. The shared goal involves shared experiences that can foster empathy, mutual understanding, and bonding.",To find common aesthetic interests with the other agent to establish a potential friendship.,To learn about the other agent's cultural preferences and determine if they align well for future shared activities.,"""Experiencing a world of beauty (going to museums , concerts , being with nature)""",Art Enthusiast (someone deeply passionate about art and eager to share insights),Cultural Explorer (someone curious about diverse experiences but less knowledgeable)
"{'Abbreviation': 'Intellectual conversations', 'Full label': '""Having intellectual experiences , conversations , discussing interesting topics""'}",Information Acquisition,"The chosen social goal category is 'Information Acquisition' as it aligns well with the shared goal of having intellectual conversations and discussing interesting topics. Each agent's personal goal reflects their unique motivation within this context, allowing for evaluation based on conversation outcomes. The roles assigned shape their interaction styles.",To explore and learn about novel perspectives on a topic of mutual interest.,To deepen understanding of a familiar topic by engaging with someone else's insights.,"""Having intellectual experiences , conversations , discussing interesting topics""",Curious Explorer,Knowledge Sharer
"{'Abbreviation': 'Being unique', 'Full label': '""Being unique , different , exceptional""'}",Identity Recognition,"The chosen social goal category 'Identity Recognition' aligns well with the shared goal of 'Being unique, different, exceptional' as it focuses on how individuals seek to be acknowledged for their distinctiveness. Each agent will have personal goals that reflect their desire to stand out, while their social roles will shape how they interact to achieve these goals.",To be recognized as the most creative and innovative individual in the group.,To be acknowledged as the most knowledgeable and insightful individual in the group.,"""Being unique , different , exceptional""",The Visionary,The Sage
"{'Abbreviation': 'Being responsible', 'Full label': '""Being responsible , dependable""'}",Relationship Maintenance,"To explore attribution theory in social psychology, we focus on 'Relationship Maintenance' as the social goal category, aligning with the shared goal of 'Being responsible, dependable'. Relationship Maintenance emphasizes the importance of sustaining and nurturing interpersonal connections, which inherently involves responsibility and dependability. The agents' personal goals reflect their individual motivations within this context, with one aiming to reinforce trust through reliability and the other seeking recognition for their contributions, both contributing to the shared goal.",To demonstrate reliability by consistently fulfilling commitments and promises.,To gain acknowledgment for their dependable behavior in maintaining the relationship.,"""Being responsible , dependable""",The Reliable Partner,The Appreciative Counterpart
"{'Abbreviation': 'Being conventional', 'Full label': '""Maintaining conventional views , avoiding innovation""'}",Relationship Maintenance,The chosen social goal category is 'Relationship Maintenance' because maintaining conventional views and avoiding innovation often relies on preserving existing social norms and relationships. This category fits well with the shared goal as it emphasizes stability and continuity in interpersonal dynamics.,Ensure the other agent aligns with traditional values to reinforce group harmony.,Demonstrate commitment to conventional views to gain acceptance and avoid social exclusion.,"""Maintaining conventional views , avoiding innovation""",Traditionalist Enforcer,Conformist Seeker
"{'Abbreviation': 'Descendants', 'Full label': '""Having enough money to leave for my descendants""'}",Cooperation,The chosen social goal category 'Cooperation' fits well with the shared goal of 'Having enough money to leave for my descendants' because it involves working together harmoniously towards a common financial objective. Each agent will have distinct personal goals that align with their perspectives and motivations while contributing to the shared goal.,To educate the other agent on effective long-term investment strategies to grow wealth sustainably.,To convince the other agent to prioritize frugality and saving habits to accumulate wealth reliably.,"""Having enough money to leave for my descendants""",Financial Advisor,Frugal Saver
"{'Abbreviation': 'Buying things', 'Full label': '""Buying things I want""'}",Cooperation,"To investigate attribution theory through simulated agents in a 'Buying things I want' scenario, we chose the social goal category 'Cooperation' as it involves interpersonal dynamics where agents must balance personal and shared goals. Agent 1 aims to maximize their personal gain while staying within budget, reflecting a self-interested yet cooperative stance. Agent 2 seeks to ensure mutual satisfaction and fairness, emphasizing relationship-oriented cooperation. Their roles as 'Budget-Conscious Shopper' and 'Fairness-Focused Negotiator' shape their interactions.",Purchase desired items at the lowest possible cost without exceeding personal budget.,Ensure both agents leave satisfied with their purchases by mediating fair compromises.,"""Buying things I want""",Budget-Conscious Shopper,Fairness-Focused Negotiator
"{'Abbreviation': 'Personal growth', 'Full label': '""Experiencing personal growth""'}",Relationship Building,"To investigate attribution theory through simulated agents focusing on 'Experiencing personal growth', we selected 'Relationship Building' as the social goal category. This allows exploration of how dispositional traits (e.g., openness vs. conscientiousness) and situational factors shape agents' approaches to growth through interpersonal connections.",To develop deeper emotional connections by openly sharing vulnerabilities and listening actively,To expand social networks strategically by identifying growth-oriented individuals,"""Experiencing personal growth""","The Explorer (open, introspective, values authentic connections)","The Connector (ambitious, extraverted, views relationships as opportunities)"
"{'Abbreviation': 'Money', 'Full label': '""Making a lot of money""'}",Competition,"For the shared goal of 'Making a lot of money,' the social goal category of 'Competition' is chosen because it naturally aligns with the high-stakes, resource-driven nature of financial success. This allows us to explore how agents with differing personal goals and social roles navigate competitive dynamics while still pursuing a shared objective.",To outperform the other agent in generating revenue by aggressively pursuing high-value opportunities.,"To secure the most sustainable and long-term profitable ventures, prioritizing stability over short-term gains.","""Making a lot of money""",Aggressive Entrepreneur,Strategic Investor
"{'Abbreviation': 'Erotic relationship', 'Full label': '""Having an erotic relationship""'}",Relationship Building,The shared goal 'Having an erotic relationship' aligns most closely with the social goal category 'Relationship Building'. This involves creating and deepening emotional and physical intimacy between agents.,To explore emotional and physical compatibility with the other agent.,To establish trust and mutual satisfaction while respecting personal boundaries.,"""Having an erotic relationship""",Explorer,Guardian
"{'Abbreviation': 'Romantic experiences', 'Full label': '""Having romantic experiences""'}",Relationship Building,"We selected 'Relationship Building' as the social goal category because it aligns closely with the shared goal of 'Having romantic experiences.' Romantic experiences often involve forming new connections and deepening emotional ties, which are central to relationship building. Each agent's personal goal reflects their unique perspective and motivation within this context, allowing for evaluation based on their interaction outcomes.",To establish a deep emotional connection by sharing personal values and interests.,To assess compatibility by exploring shared hobbies and future aspirations.,"""Having romantic experiences""",The Romantic Idealist,The Pragmatic Evaluator
"{'Abbreviation': 'Freedom of choice', 'Full label': '""Having freedom of choice""'}",Competition,The shared goal 'Having freedom of choice' can be effectively explored through the lens of 'Competition' as it inherently involves the negotiation of personal freedoms and decision-making autonomy between individuals.,Ensure their own choices are prioritized in joint decisions.,Assert independence by making decisions that reflect their personal preferences.,"""Having freedom of choice""",Dominant Decision-Maker,Assertive Individualist
"{'Abbreviation': 'Mature romantic', 'Full label': '""Having a mature romantic relationship""'}",Relationship Maintenance,"We selected 'Relationship Maintenance' as the social goal category because maintaining a mature romantic relationship involves ongoing efforts to nurture and sustain the bond between partners. This aligns well with the shared goal of having a mature romantic relationship, as it emphasizes the importance of continuous interaction and mutual understanding.",To ensure emotional support and reassurance are consistently provided to maintain trust and intimacy.,To foster open communication and address any concerns proactively to prevent misunderstandings.,"""Having a mature romantic relationship""",The Nurturer,The Communicator
"{'Abbreviation': 'Mentor', 'Full label': '""Having a mentor , someone to guide me""'}",Relationship Building,We selected 'Relationship Building' as the social goal category because the shared goal of having a mentor inherently involves forming a meaningful interpersonal connection based on trust and guidance.,To gain wisdom and practical advice tailored to personal challenges.,To share expertise while establishing trust and credibility.,"""Having a mentor , someone to guide me""","Eager Mentee (high openness, moderate conscientiousness)","Experienced Mentor (high conscientiousness, high agreeableness)"
"{'Abbreviation': 'Living close to family', 'Full label': '""Living close to my parents , siblings , grandparents""'}",Relationship Maintenance,"Given the shared goal of 'Living close to my parents, siblings, grandparents,' the most fitting social goal category is 'Relationship Maintenance,' as proximity to family involves nurturing and sustaining familial bonds. Two distinct personal goals are assigned to the agents, reflecting their motivations while aligning with the shared goal. Agent 1, as a 'Proximity Seeker,' aims to facilitate practical proximity through logistical planning, while Agent 2, a 'Sentimental Anchor,' focuses on emotional closeness and legacy.","To organize practical arrangements (e.g., housing, schedules) to enable regular face-to-face interactions with extended family.",To deepen emotional connections with extended family members through shared traditions and mutual support.,"""Living close to my parents , siblings , grandparents""",Proximity Seeker (Practical Planner),Sentimental Anchor (Emotional Nurturer)
"{'Abbreviation': 'Being intelligent', 'Full label': '""Being intelligent""'}",Competition,"We selected 'Competition' as the social goal category for the shared goal 'Being intelligent' because competition naturally arises when individuals strive to demonstrate their intellectual superiority or unique knowledge. This allows us to explore how dispositional traits (e.g., confidence, humility) and situational factors (e.g., context of the interaction) influence attribution processes in a performance-oriented social setting.",To demonstrate superior knowledge and problem-solving skills compared to the other agent.,To subtly highlight unique areas of expertise while appearing humble and cooperative.,"""Being intelligent""",Confident Challenger: An assertive individual who seeks validation through overt displays of intelligence.,Strategic Expert: A knowledgeable but socially aware individual who prefers indirect demonstrations of competence.
"{'Abbreviation': 'Things in order', 'Full label': '""Keeping things in order (my desk , office , house , etc.)""'}",Cooperation,We chose 'Cooperation' as the social goal category because keeping things in order often requires collaboration and mutual agreement on tasks and responsibilities. This allows us to explore how agents with different personal goals and roles work together to achieve a shared goal. The personal goals are designed to reflect individual motivations while still aligning with the broader objective of orderliness.,To ensure all shared spaces are organized efficiently so that tasks can be completed quickly.,To maintain a visually pleasing and personalized order in shared spaces.,"""Keeping things in order (my desk , office , house , etc.)""",The Efficiency Expert,The Aesthetic Organizer
