base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role
"{'Abbreviation': 'Feeling meshed', 'Full label': '""Having emotional intimacy , feeling really meshed with another""'}",Relationship Building,"Selected Relationship Building because the shared goal centers on deepening emotional closeness. The agents are given complementary, measurable aims: one emphasizes vulnerable self-disclosure to open the door to intimacy, while the other emphasizes empathic validation and co-creating shared meaning/rituals. This asymmetry allows clear evaluation (counts of disclosures, reflections, values named, and proposals) and supports studying how dispositional openness vs. situational responsiveness shape perceived intimacy and attributions.","During the conversation, share at least 3 specific, vulnerable self-disclosures about recent experiences (joys, fears, or needs), explicitly label the core feeling for each disclosure, and ask at least 2 open questions inviting the partner’s inner perspective.","During the conversation, reflect back the partner’s feelings and meanings at least 3 times without judgment, identify at least 2 shared values or themes that connect both partners, express 1 concrete appreciation and 1 reassurance, and propose 1 small recurring connection ritual (e.g., a nightly check-in).","""Having emotional intimacy , feeling really meshed with another""",Vulnerable Discloser (initiates deep sharing and sets the emotional tone),"Empathic Validator-Integrator (mirrors feelings, links to shared meaning, and co-creates connection practices)"
"{'Abbreviation': 'Close spouse', 'Full label': '""Being close to my spouse""'}",Relationship Maintenance,"Chosen to focus on Relationship Maintenance because the couple already exists and aims to sustain and enhance closeness over time. Each personal goal is concrete and testable within a conversation: both seek negotiated, time-bound commitments and explicit acknowledgments that can be observed and assessed.","Secure agreement on a weekly, screen-free 60-minute date night (proposed: Thursdays 7–8 pm) and receive one explicit verbal affirmation from the partner that they feel valued/cherished.","Communicate and gain acceptance of a 30-minute solo decompression period after arriving home on weekdays, while committing to send one midday check-in text on workdays and to initiate one shared activity each weekend.","""Being close to my spouse""","Emotional Connector (affection-forward partner prioritizing validation and quality time; uses self-disclosure, empathy, and bids for closeness).","Structure-Oriented Negotiator (pragmatic partner balancing autonomy and intimacy; uses boundary-setting, scheduling, and concrete planning)."
"{'Abbreviation': 'Being practical', 'Full label': '""Being practical""'}",Cooperation,"Being practical implies co-creating a workable, efficient plan under real constraints. Cooperation best fits this because both agents must align on concrete steps, constraints, and commitments. The personal goals are framed to be objectively verifiable in dialogue (specific steps, timelines, confirmations), and the roles create complementary dispositions: one proposes actionable structure; the other enforces feasibility and risk controls.","By the end of the conversation, present a prioritized 3-step action plan with (1) a named owner for each step, (2) a timeline not exceeding 14 days, (3) a total budget cap of $500 (or an agreed resource limit if money is not applicable), and obtain explicit verbal agreement from Agent 2 to proceed with all steps.","Before agreeing, surface and have Agent 1 incorporate the top three practical constraints (e.g., time, budget/resource availability, compliance/feasibility), add one concrete contingency for the riskiest step, and secure Agent 1's explicit acknowledgment of these constraints and the contingency.","""Being practical""","Resource-Bounded Planner: an efficiency-focused coordinator who proposes concise, actionable steps and seeks rapid alignment.","Risk and Feasibility Gatekeeper: a detail-oriented evaluator who tests assumptions, ensures constraints and safeguards are integrated before committing."
"{'Abbreviation': 'Attracting sexually', 'Full label': '""Being able to attract , please , sexually excite a sexual partner""'}",Cooperation,"Cooperation is selected because the shared aim—mutual attraction and satisfaction—requires coordinated, consent-centered interaction where each person contributes information and adapts behavior. The personal goals are concrete and measurable through the conversation outcomes.","By the end of the conversation, obtain explicit consent to discuss intimacy; ask at least three open-ended questions to learn what makes the other person feel attracted/pleased and their boundaries; accurately paraphrase these points and get confirmation; propose one mutually respectful next step (e.g., a date plan with agreed check-ins) and receive a clear yes/no.","By the end of the conversation, clearly state at least three attraction cues and two boundaries; indicate comfort level at least once on a 1–5 scale; request at least one specific behavior that would help you feel respected/comfortable; accept or decline the proposed next step and briefly explain why.","""Being able to attract , please , sexually excite a sexual partner""","Initiator-Listener (facilitates the discussion, centers consent, uses open-ended questions, and invites feedback).","Preference Communicator (articulates desires and boundaries, reports comfort level, and provides constructive feedback on proposals)."
"{'Abbreviation': 'Knowing many others', 'Full label': '""Knowing and being on familiar terms with many others""'}",Relationship Building,"Relationship Building best fits a shared aim of becoming familiar with many others. Agent 1 is a breadth-focused connector seeking actionable introductions now; Agent 2 is a selective curator who prioritizes fit and reciprocity. Their goals are measurable within a two-person conversation (names/descriptors, intro blurb, criteria, commitments, and a scheduled date).","By the end of the conversation, secure explicit agreement from Agent 2 for at least three warm introductions (each with a name or clear descriptor, mutual context, and preferred intro channel) and lock in a specific date/time within two weeks for a 45-minute small-group coffee they will help convene.","By the end of the conversation, obtain a <=50-word intro blurb for Agent 1 (who they are, interests, what they offer), confirm three criteria for their ideal contacts, receive commitment plus names/descriptors for at least three reciprocal introductions from Agent 1, and agree on the same date/time for the small-group coffee.","""Knowing and being on familiar terms with many others""",Community Connector (growth-oriented networker who prioritizes breadth and quick action).,"Community Manager (selective gatekeeper who curates high-fit, reciprocal connections)."
"{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being , avoiding pain""'}",Cooperation,"Cooperation is selected because protecting well-being and avoiding pain requires joint planning, resource negotiation, and mutual commitments. This context highlights how dispositional traits (e.g., empathy, conscientiousness) and situational constraints (e.g., workload, policies) interact to shape behavior.","By the end of the conversation, secure the manager’s explicit agreement to: (a) order a sit-stand desk this week, (b) allow two 10-minute stretch breaks per workday without penalty, and (c) reassign heavy-lifting tasks away from me for the next 30 days.","By the end of the conversation, obtain the employee’s commitment to: (a) a revised delivery schedule with dates for all current tasks, (b) a weekly 15-minute check-in to monitor progress and impact of accommodations, and (c) providing a doctor’s note within 5 business days, while keeping total accommodation time within 1 hour per day.","""Protecting my well-being , avoiding pain""",Employee experiencing chronic back pain seeking reasonable accommodations; self-advocate aiming to maintain performance while minimizing physical strain.,Team manager balancing support and team deliverables; resource gatekeeper responsible for equitable workload distribution and policy compliance.
"{'Abbreviation': 'Avoiding failure', 'Full label': '""Avoiding failure""'}",Cooperation,"Avoiding failure is best served by aligning efforts, sharing constraints, and coordinating mitigations. The Cooperation category emphasizes joint problem-solving and mutual commitments, reducing blame-shifting and increasing task reliability.","As the Project Manager, co-create a concrete mitigation plan by the end of the conversation that includes: (a) at least 3 specific risks explicitly listed, (b) an owner and due date for each risk, (c) the engineer’s explicit verbal commitment to at least 2 action items, and (d) agreement on a follow-up check-in time within 3 days.","As the Lead Engineer, ensure the plan is realistic by achieving: (a) explicit acknowledgement of at least 2 technical or resource constraints, (b) deferral or descope of at least 1 high-risk feature or an agreed deadline extension, and (c) commitment from the PM to secure 1 additional resource or support action documented in the plan.","""Avoiding failure""","Project Manager and Risk Coordinator—structures the discussion, elicits risks, assigns owners and timelines, and seeks clear commitments while maintaining a supportive tone.","Lead Engineer and Implementer—provides candid feasibility input, pushes back on risky scope, proposes alternatives, and commits only to actions that are resourced and time-bound."
"{'Abbreviation': 'Good parent', 'Full label': '""Being a good parent (teaching , providing , transmitting values)""'}",Cooperation,"Cooperation best fits the shared goal of being good parents because it requires aligning strategies, dividing responsibilities, and agreeing on consistent practices for teaching, providing, and transmitting values.","By the end of the conversation, secure a concrete weekly routine and resource plan: (a) agree on 3 fixed time slots for homework/reading, (b) assign who covers pickups, dinner, and homework help on specific days, and (c) finalize a needed-supplies list with a weekly budget cap; confirm commitments by restating them together.","By the end of the conversation, establish the family’s values framework and reinforcement plan: (a) agree on 3 explicitly worded core family values, (b) define 2 daily/weekly rituals that model those values, and (c) set one consistent response for a common misbehavior (e.g., screen-time refusal); confirm understanding with a mutual summary.","""Being a good parent (teaching , providing , transmitting values)""","Logistics Planner Parent (coordinates schedules, tasks, and resources; seeks clarity and commitments)",Values Coach Parent (articulates norms and emotional climate; focuses on modeling and consistent reinforcement)
"{'Abbreviation': 'Sexual experiences', 'Full label': '""Enjoying sexual experiences""'}",Cooperation,"Cooperation best fits because enjoying intimacy requires joint planning, active consent, and coordinated action to align both partners’ comfort, boundaries, and preferences without detailing explicit acts.","Co-create by conversation’s end a mutually agreed plan for the next intimate encounter that includes: (a) at least three generally described activities both are comfortable exploring, (b) a consent/check-in method (e.g., verbal check-ins and a pause word), (c) an agreed time and setting, and (d) one aftercare step (e.g., cuddling or debrief).","By conversation’s end, clearly state at least three personal “yes” items, three “no” items, and two non-negotiable boundaries in general terms; ask at least two clarifying questions about comfort/safety; and confirm or request revisions to the proposed plan so it feels safe and enjoyable.","""Enjoying sexual experiences""","Collaborative Planner (structures the discussion, invites input, proposes options, ensures consent and logistics)","Preference Communicator (articulates needs and limits, negotiates comfort conditions, validates or adjusts the plan)"
"{'Abbreviation': 'Taking risks', 'Full label': '""Not being fearful , being able to take risks""'}",Cooperation,Cooperation best fits because both agents must coordinate efforts to reduce fear and increase approach behavior. Assigning complementary roles (a risk-averse planner and a supportive challenger) lets us observe how dispositional caution and situational support interact. The personal goals are concrete and testable within a conversation.,"By the end of the conversation, select one meaningful, specific risk to attempt within 7 days; state the smallest first step, a date/time to do it, and two fears plus two coping strategies; ask Agent 2 for one concrete accountability check-in.","By the end of the conversation, elicit Agent 1’s top two fears; provide at least two evidence-based techniques to manage them (e.g., graded exposure, implementation intentions); challenge one cognitive distortion via questions; secure and summarize Agent 1’s commitment (risk, first step, date/time) and schedule a specific check-in; share one brief personal example to normalize fear.","""Not being fearful , being able to take risks""","Cautious Initiator (risk-averse partner focused on planning a safe, time-bound first risk)","Courage Coach and Accountability Partner (supports, challenges, offers tools, and anchors commitment)"
"{'Abbreviation': 'Hobbies', 'Full label': '""Devoting time to amusements , having recreation , entertainment , hobbies""'}",Cooperation,"Cooperation is the best fit because the agents must coordinate preferences, schedules, and constraints to jointly plan leisure activities. The personal goals are concrete and measurable in dialogue (explicit agreements on activities, dates/times, and constraints), allowing clear evaluation of success in a later conversation.","Secure explicit agreement on two leisure events within the next four weeks: (1) a board game night and (2) an outdoor photography walk; by the end of the conversation, confirm specific dates and start/end times for both, and who is responsible for bringing games/snacks and planning the photo walk route.","Obtain explicit agreement that the two planned events meet these feasibility constraints: total expected cost per person across both events is $40 or less, the board game night ends by 9:00 pm on a weekday or is scheduled on a weekend evening, and the photography walk occurs on a weekend morning; ensure both dates/times are stated aloud and acknowledged.","""Devoting time to amusements , having recreation , entertainment , hobbies""","Social Convener and Activity Curator (proposes engaging activities, builds enthusiasm, and assigns prep tasks)","Logistics and Budget Coordinator (checks feasibility, cost, and timing, and negotiates constraints)"
"{'Abbreviation': 'Being conventional', 'Full label': '""Maintaining conventional views , avoiding innovation""'}",Cooperation,"The shared aim of preserving conventional practices is best supported by a cooperative frame: both agents work together to sustain the status quo but with distinct motives—one grounded in tradition/precedent, the other in risk/compliance. Each personal goal includes clear, observable outcomes (explicit commitments, enumerated criteria, scheduled actions) that can be evaluated from a conversation transcript.",Secure a verbal commitment from the other agent to support a 3-month moratorium on adopting new tools or processes; elicit acknowledgment of at least two precedents that justify the moratorium; and obtain agreement to publish a joint note to the team stating that existing procedures remain mandatory during the moratorium.,"Obtain the other agent’s agreement to a stringent change-control checklist—requiring (1) regulatory impact review, (2) quantified cost–risk analysis, and (3) pilot results meeting predefined thresholds—before any innovation is considered; articulate at least three concrete compliance or risk concerns during the conversation; and schedule a recurring review meeting to enforce the checklist, thereby deferring any current proposals.","""Maintaining conventional views , avoiding innovation""",Standards Committee Chair (Tradition Gatekeeper),Compliance Officer (Risk and Regulation Enforcer)
"{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups , feeling like part of a group""'}",Relationship Building,"Belonging is achieved by initiating and strengthening interpersonal ties, so Relationship Building best aligns with the shared goal. The personal goals are framed as concrete conversational outcomes (explicit welcome, shared interests, next-step planning) that can be objectively checked in dialogue. Assigning a Newcomer and a Group Organizer role structures the interaction around welcoming and onboarding.","As the Newcomer, secure belonging signals and a next step: (a) identify at least two points of commonality with the group, (b) hear an explicit welcome such as 'you belong here' or 'we'd love to have you,' and (c) obtain a concrete invitation to the next event (date/time or sign-up link) plus an ongoing contact method (organizer's contact or group chat link).","As the Group Organizer, build rapport and onboard appropriately: (a) share at least two core group values/norms, (b) ask at least three targeted questions about the newcomer's interests and availability, (c) explicitly affirm inclusion (e.g., 'you belong here'), and (d) offer a specific next step (invite to the next event with details or, if misaligned, refer to an alternative group).","""Belonging to social groups , feeling like part of a group""",Prospective Member (Newcomer seeking inclusion),Group Organizer (Welcomer/Gatekeeper)
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others , cooperating , giving support""'}",Cooperation,"Given the shared goal of helping others, cooperating, and giving support, Cooperation is the most fitting social goal category. The personal goals are designed to be specific and measurable so they can be evaluated from the conversation itself. The roles—Support Coordinator and Help Seeker–Collaborator—create complementary interaction patterns: one structures and provides support, the other articulates needs and commits to actions, enabling cooperative progress.","By the end of the conversation, co-create a support plan by (a) eliciting Agent 2’s main need with at least two open questions, (b) proposing three concrete, time-bound actions with clear owners, and (c) obtaining Agent 2’s explicit agreement to at least two actions plus a specific check-in time.","By the end of the conversation, clearly state one primary problem, two key constraints, and a desired outcome within the first five turns; then evaluate each proposed action (accept/modify/reject) and commit to at least two actions and request one specific resource needed.","""Helping others , cooperating , giving support""","Support Coordinator (task-oriented helper who structures the conversation, proposes options, and ensures follow-through).","Help Seeker–Collaborator (provides context and constraints, chooses among options, and commits to agreed actions)."
"{'Abbreviation': 'Thinking intellectually', 'Full label': '""Being able to think intellectually (handle data , extract ideas , devise hypotheses , analyze , synthesize information)""'}",Cooperation,"Cooperation best fits the shared goal because effective intellectual work (handling data, extracting ideas, forming and testing hypotheses) benefits from complementary, coordinated efforts. Assigning one agent to drive evidence generation and the other to structure and challenge ideas promotes interdependence and makes progress objectively measurable in dialogue.","As the data-focused collaborator, identify at least 3 concrete patterns or trends from the available information and articulate 2 testable hypotheses (each with clearly named variables, expected direction, and a simple analysis plan) during the conversation.","As the theory-focused collaborator, synthesize the proposed patterns into a coherent mini-framework by naming 2 plausible mechanisms, critique at least 1 assumption, and refine at least 1 hypothesis to improve its clarity or testability while adding 1 novel, falsifiable prediction.","""Being able to think intellectually (handle data , extract ideas , devise hypotheses , analyze , synthesize information)""","Data Analyst and Facilitator (extracts patterns, operationalizes variables, and keeps the discussion evidence-grounded)","Conceptual Theorist and Skeptical Synthesizer (builds explanatory structure, probes assumptions, and refines hypotheses)"
"{'Abbreviation': 'Living close to family', 'Full label': '""Living close to my parents , siblings , grandparents""'}",Cooperation,"Cooperation is chosen because achieving the shared goal of living near extended family requires coordinated planning, mutual constraint-setting, and a clear division of tasks. The roles and personal goals focus on jointly defining criteria, setting boundaries, and agreeing on concrete next steps that can be evaluated by the number and specificity of commitments reached in conversation.","By the end of the conversation, secure explicit agreement on three concrete location criteria (budget range, maximum commute time for both partners, and acceptable distance to family) and produce a mutually accepted shortlist of 3 neighborhoods that satisfy these criteria.","By the end of the conversation, obtain partner agreement on a proximity-and-boundaries plan that includes: (a) a target radius to parents/siblings/grandparents, (b) a visit/drop-in policy, and (c) a division of family-outreach tasks with deadlines—recording at least 3 specific commitments.","""Living close to my parents , siblings , grandparents""","Logistics Planner (Project Manager): structures the discussion, defines criteria, synthesizes options, and turns preferences into a concrete shortlist.","Family Liaison and Resource Scout: advocates for well-being and family harmony, sets proximity/boundary expectations, and coordinates outreach and support from relatives."
"{'Abbreviation': 'Defense vs. criticism', 'Full label': '""Defending myself against others’ criticisms or attacks""'}",Identity Recognition,"Identity Recognition best fits a goal of defending oneself from criticism because the primary concern is having one’s competence, intentions, and character accurately recognized. We model two co-workers who are jointly criticized by others; their personal goals are concrete and evaluable within their conversation (explicit acknowledgments, evidence-based talking points, and prepared statements), and they explicitly address dispositional vs. situational attributions.","By the end of the conversation, secure from Agent 2 an explicit acknowledgment that my reliability and judgment remain intact; co-author a 3-point defense I can deliver externally that (a) cites two situational constraints that contributed to the issue, (b) names one concrete corrective action I have already taken, and (c) highlights two past successes that support my competence.","By the end of the conversation, obtain Agent 1’s agreement to publicly note my specific contributions and clarify that I did not own the delayed dependency; draft a 4-sentence statement I can use that (a) corrects one key misattribution about my role, (b) presents two verifiable evidence items (e.g., timestamps, emails), and (c) sets one respectful boundary against personal attacks.","""Defending myself against others’ criticisms or attacks""","Self-advocating co-lead (identity-affirming, evidence-compiling)","Peer ally and devil’s advocate (tests defenses, surfaces situational factors, preserves face for both)"
"{'Abbreviation': 'Persuading others', 'Full label': '""Influencing , persuading others""'}",Cooperation,"Chose Cooperation because both agents share the aim of persuading an external decision-maker and can best achieve this by coordinating complementary strategies (evidence and narrative). This setup allows clear, measurable personal goals that can be evaluated during their planning conversation.","By the end of the conversation, secure agreement that the pitch will include: (1) two quantified ROI metrics (e.g., % cost reduction and projected revenue lift), (2) one external benchmark or case study citation, and (3) a 90-day success metric; additionally, obtain the second agent’s explicit commitment that the data segment will be led by Agent 1.","By the end of the conversation, elicit and document three likely stakeholder objections (risk, budget, change fatigue), craft one-sentence rebuttals in plain language for each, secure Agent 1’s agreement to replace jargon in at least two slides, and include one stakeholder-centered story in the opening.","""Influencing , persuading others""",Evidence-Driven Advocate (Data Strategist),Audience-Centered Persuader (Narrative Designer)
"{'Abbreviation': 'Support from others', 'Full label': '""Receiving support from others on projects I believe in""'}",Cooperation,"Cooperation best fits because the shared aim is to coordinate concrete, reciprocal support actions. The personal goals are framed as specific, time-bound commitments that can be objectively verified after a conversation.","By the end of the conversation, secure from Agent 2: (a) a scheduled 20-minute demo within 7 days, (b) email introductions to at least 2 relevant potential supporters within 72 hours, and (c) a vetted one-sentence ask that Agent 2 will use in those introductions.","By the end of the conversation, decide yes/no on supporting Agent 1 and, if yes, obtain from Agent 1: (a) a commitment to promote my open-source toolkit in one post or newsletter mention within 7 days, (b) a 15-minute feedback call on my 2-page deck scheduled within 5 days, and (c) an agreement that my support to Agent 1 this week is capped at 60 minutes.","""Receiving support from others on projects I believe in""",Project Advocate (Founder/Pitcher) seeking concrete support commitments,Resource Connector and Gatekeeper assessing fit and brokering support
"{'Abbreviation': 'Personal growth', 'Full label': '""Experiencing personal growth""'}",Cooperation,"Cooperation best aligns with experiencing personal growth because both agents can jointly structure steps, feedback, and accountability. This setup lets us observe how each attributes progress to dispositional effort vs. situational support while collaboratively pursuing growth.","By the end of the conversation, clearly state one personal growth area, choose two concrete actions to take in the next 7 days (each with when/where), and agree on a specific follow-up date/time for accountability.","By the end of the conversation, use at least three open-ended questions to elicit the partner’s growth area, offer two behavior-based feedback points, and co-create a SMART mini-plan that includes one measurable metric and a scheduled check-in.","""Experiencing personal growth""","Growth Seeker (coachee) focusing on self-reflection and commitment-making, requesting accountability and clarity.","Peer Coach/Accountability Partner guiding structure, asking probing questions, and providing constructive, behavior-focused feedback."
