base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role
"{'Abbreviation': 'Being unique', 'Full label': '""Being unique, different, exceptional""'}",Identity Recognition,"Identity Recognition best fits a shared desire to be seen as unique. The agents’ goals focus on influencing how the other perceives and frames their identities in conversation—observable through curiosity, reframing, and contrast rather than explicit agreement.",Influence the other to perceive them as unconventional by steering topics to atypical stances and inviting curiosity rather than approval.,"Continually assert their own distinctness by reframing any perceived similarity with the first agent as a different motive or method, emphasizing contrast without one‑upping.","""Being unique, different, exceptional""",Iconoclast Storyteller,Constructive Foil
"{'Abbreviation': 'Education', 'Full label': '""Getting an education""'}",Cooperation,"Cooperation best fits “Getting an education” because it relies on coordinated roles (student and advisor) aligning their efforts through dialogue. The student aims to shape the advisor’s contributions, while the advisor aims to understand and motivate the student to co-construct a path forward.","Shape the advisor’s guidance toward concrete, tailored advice by candidly voicing confusions and preferences and by paraphrasing to signal what is useful.",Elicit the student’s intrinsic motives and constraints through open-ended prompts and affirmations that invite the student to articulate their own plan in their own words.,"""Getting an education""",First Generation Student,Academic Advisor
"{'Abbreviation': 'Descendants', 'Full label': '""Having enough money to leave for my descendants""'}",Cooperation,"Cooperation best fits because both parties share the legacy-wealth objective and must align their approaches. The estate planner seeks to cultivate a collaborative mindset, while the elder parent tests prudence and trust—complementary intentions that can be inferred from framing, tone, and questioning during dialogue.","Foster a collaborative, legacy-first mindset by validating the other’s values and consistently using inclusive “we/legacy” framing to keep the other open and co-constructive.",Assess the other’s prudence and loyalty by posing preservation-centered what-if questions and responding warmly to caution while challenging hype or overconfidence.,"""Having enough money to leave for my descendants""",Estate planner,Elder parent
"{'Abbreviation': 'Life’s limitations', 'Full label': '""Accepting life’s limitations""'}",Identity Recognition,"Accepting life’s limitations hinges on having one’s identity, boundaries, and constraints recognized without judgment. Identity Recognition best fits because the agents’ interaction centers on validating self-concepts and reframing attributions (situational vs. dispositional) to support acceptance.","Guide the other to interpret setbacks as situational constraints rather than personal defects by mirroring feelings, highlighting context, and modeling self-compassionate language without pressuring.","Elicit respectful acknowledgment of their limits without pity by openly stating boundaries, affirming what feels sustainable, and calmly correcting any minimizing or fixing responses.","""Accepting life’s limitations""",Supportive peer,Boundary-setting peer
"{'Abbreviation': 'Pleasing God', 'Full label': '""Pleasing God""'}",Cooperation,"Pleasing God is a joint aim best aligned with cooperation. The facilitator emphasizes dispositional rigor (self-discipline, consistency) through reason-giving, while the peacemaker foregrounds situational compassion via affirmation and reframing. Their contrasting conversational moves let us observe how dispositional and situational attributions shape interaction.","Guide the other toward stricter observance by offering principled rationales and gently challenging rationalizations, aiming to elicit reflective, exploratory responses rather than explicit agreement.","Maintain a collaborative, nonjudgmental tone by affirming shared devotion and reframing tensions into joint problem-solving, seeking the other to mirror calmer, conciliatory language.","""Pleasing God""",Study Group Facilitator,Congregational Peacemaker
"{'Abbreviation': 'Rich social life', 'Full label': '""Having a rich, active, social life""'}",Relationship Building,"Relationship Building best fits the shared aim: one agent seeks to spark enthusiastic alignment, while the other calibrates authenticity and boundaries so new ties feel meaningful and sustainable.","Evoke enthusiastic alignment from the other by offering inclusive invitations and affirming their interests with upbeat, open-ended language.","Gauge the other's genuineness and respect by asking value-revealing questions and gently setting boundaries, warming to considerate responses and cooling when the tone feels performative.","""Having a rich, active, social life""",Social Catalyst,Selective Gatekeeper
"{'Abbreviation': 'Religious faith', 'Full label': '""Maintaining religious faith""'}",Identity Recognition,"Maintaining religious faith often hinges on whether one’s faith identity is affirmed or threatened in interaction. Focusing on Identity Recognition highlights how validation, empathy, and framing of doubt shape whether each agent continues to see themselves as a legitimate member of the faith community.","Affirm the other’s faith identity by reframing doubts as normal and reflecting their values with warm, nonjudgmental language to reduce defensiveness and keep them self-identifying with the faith.","Gauge whether the other accepts them as a legitimate believer despite doubts by disclosing uncertainties cautiously and monitoring for empathetic, validating responses before deepening self-disclosure.","""Maintaining religious faith""",Spiritual mentor,Questioning congregant
"{'Abbreviation': 'Being likeable', 'Full label': '""Being likeable, making friends, drawing others near""'}",Relationship Building,Relationship Building best fits a shared aim of being likeable and making friends. The agents adopt complementary intentions: one centers on understanding and validation; the other on relatable self-disclosure and similarity signaling—both observable through conversational tone and responses.,"Convey authentic warmth by drawing out the other’s experiences and reflecting their feelings back, so the other feels understood.",Cultivate perceived similarity by offering relatable self-disclosures and subtly mirroring the other’s tone to signal shared outlooks.,"""Being likeable, making friends, drawing others near""",Empathic Listener,Relatable Sharer
"{'Abbreviation': 'Sharing feelings', 'Full label': '""Sharing feelings with close friends""'}",Relationship Maintenance,"Sharing feelings with close friends is primarily about sustaining closeness and trust. Relationship Maintenance fits best: one agent aims to elicit validation through vulnerable disclosure, while the other preserves the bond by offering empathic reflection and presence.",Elicit empathic validation by openly disclosing vulnerable emotions and keeping the exchange focused on feelings rather than problem-solving.,"Convey care and understanding by reflecting the other’s emotions, normalizing them, and signaling steady presence without shifting the topic to self.","""Sharing feelings with close friends""",Vulnerable Sharer,Empathic Confidant
"{'Abbreviation': 'Being innovative', 'Full label': '""Changing my ways, being innovative in the way I live my life""'}",Cooperation,"Cooperation fits because both agents coordinate to reinvent daily life. One agent cultivates psychological safety to broaden idea generation, while the other stress-tests ideas to align novelty with real constraints. Their conversational behaviors—affirmation/reframing versus probing/mirroring—make their intentions observable without relying on explicit agreement.",Consistently validate and positively reframe the other’s unconventional ideas to lower defensiveness and invite bolder proposals during the conversation.,Probe the reasoning and surface constraints behind the other’s ideas by asking clarifying why/how questions and mirroring trade-offs to keep innovation realistic.,"""Changing my ways, being innovative in the way I live my life""",Innovation Coach,Socratic Co-designer
"{'Abbreviation': 'Mature romantic', 'Full label': '""Having a mature romantic relationship""'}",Relationship Maintenance,"A mature romantic relationship centers on relationship maintenance: balancing empathic understanding with clear self-advocacy. Agent 1 aims to validate and accurately read the partner’s internal states (curbing dispositional blame), while Agent 2 aims to assert needs without accusation (shifting talk toward situational framing and collaboration). These intentions are observable in conversational tone, framing, and responses, aligning with attribution theory.","Demonstrate active understanding by paraphrasing the partner’s concerns and explicitly naming the feelings they express while maintaining a calm, non-defensive tone.","Assert personal needs and boundaries using direct, non-accusatory language that invites joint problem-solving rather than attributing fault.","""Having a mature romantic relationship""",Emotional Validator,Boundary Setter
"{'Abbreviation': 'Romantic experiences', 'Full label': '""Having romantic experiences""'}",Relationship Building,"Relationship Building fits because the shared aim is to co-create a romantic connection. The first agent’s goal influences the other’s comfort through affirming, paced responses; the second agent’s goal evaluates the other’s empathy through boundary-setting and selective disclosure—both are observable in dialogue tone and reactions.",Foster comfort and signal romantic interest by validating the other’s feelings and matching the pace of intimacy to their cues.,"Gauge sincerity and compatibility by setting gentle boundaries and sharing selectively, attending to whether the other responds with empathy and respect.","""Having romantic experiences""",Warm Initiator,Boundary Setter
"{'Abbreviation': 'Cause', 'Full label': '""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""'}",Identity Recognition,Identity Recognition best fits the shared goal of commitment to a cause because the interaction centers on how each agent frames the other’s commitment—either as a stable trait or as shaped by circumstances—directly engaging attribution (dispositional vs. situational) while they coordinate their shared cause.,"Shape the other’s self-view toward a stable, values-driven identity in the cause by reflecting their moral language, praising consistency, and steering talk to enduring principles.","Gauge whether the other attributes my commitment lapses to circumstances rather than character by disclosing constraints and listening for context-sensitive, nonjudgmental replies.","""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""",Values Advocate,Pragmatic Organizer
"{'Abbreviation': 'Living close to family', 'Full label': '""Living close to my parents, siblings, grandparents""'}",Relationship Maintenance,"Living near extended family hinges on sustaining closeness while protecting couple autonomy, so Relationship Maintenance best fits. Agent 1 aims to amplify affiliative affect toward family time; Agent 2 aims to diagnose and safeguard boundary expectations. Their roles channel these intentions during conversation.","Prompt the other to voice warm enthusiasm about frequent in-person time with my parents and grandparents, and reinforce that affect by mirroring and affirming any supportive language.","Assess the other's boundary stance by inviting specifics about how visits would work and noticing whether they naturally propose consent-based, scheduled arrangements; respond with calm reassurance when autonomy is acknowledged.","""Living close to my parents, siblings, grandparents""",Family liaison,Autonomy advocate
"{'Abbreviation': 'Thinking intellectually', 'Full label': '""Being able to think intellectually (handle data, extract ideas, devise hypotheses, analyze, synthesize information)""'}",Cooperation,"Cooperation best fits a shared aim of joint intellectual work. One agent facilitates methodical reasoning, while the other stress-tests ideas—complementary intentions that collaboratively enhance analysis.",Prompt the other to tie each claim back to specific data and to articulate the reasoning steps they used.,Probe the other's proposals by offering alternative interpretations and pressing for boundary conditions to test their robustness.,"""Being able to think intellectually (handle data, extract ideas, devise hypotheses, analyze, synthesize information)""",Method Facilitator,Skeptical Analyst
