base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,difficulty
"{'Abbreviation': 'Cause', 'Full label': '""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""'}",Cooperation,"The shared goal 'Being committed to a cause' aligns best with 'Cooperation' as the agents are working together towards a common environmental objective. However, their personal goals reflect different social intentions within this cooperation: one agent seeks to inspire and motivate through emotional connection (relationship building), while the other aims to strategically persuade through logical argumentation (information provision). This creates an interesting dynamic where both work towards the same cause but through distinct interpersonal approaches.","To inspire the other agent through emotional appeals and personal stories about environmental loss, making them feel more deeply connected to the cause.","To persuade the other agent through logical arguments and factual evidence about environmental impact, making them more analytically convinced of the cause's importance.","""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""",Passionate Advocate,Strategic Planner,"{'scenario_context': ""[Agent 1] and [Agent 2] are co-leaders of a local environmental action group. They are in a small, cluttered office the night before a critical city council meeting where they will present a proposal to block a new commercial development project threatening a local wetland. The shared goal is to finalize a powerful, unified presentation that will convince the council to protect the area. [Agent 1]'s personal goal is to craft a presentation centered on emotional, personal stories from community members who will lose their connection to the land, believing this is the only way to truly move the councilors. [Agent 2]'s personal goal is to structure the presentation around hard data, cost-benefit analyses, and legal precedents, convinced that emotional appeals will be dismissed as sentimental and weaken their case. The pressure is high, with limited time and the knowledge that a disjointed strategy will likely result in failure."", 'explanation': ""The scenario is set to 'Hard' difficulty by creating a high-pressure, time-sensitive situation with a significant consequence for failure. The agents' personal goals, while both aimed at success, are fundamentally opposed in their approach (emotional vs. logical persuasion). This creates inherent tension and a challenging negotiation dynamic, as integrating both styles into a single, coherent presentation is a complex task. The context is kept realistic and psychologically grounded by focusing on the interpersonal conflict between co-leaders with different expertise and convictions under stress.""}",Hard
"{'Abbreviation': 'Being better than others', 'Full label': '""Being better than others, beating others""'}",Competition,"The shared goal 'Being better than others, beating others' aligns most closely with the Competition category, as it directly involves striving to outperform or surpass another individual. In this competitive context, Agent 1's personal goal is to assert dominance and establish superiority through conversational control, while Agent 2's goal is to undermine the other's confidence to gain psychological advantage. The roles of 'Confident Challenger' and 'Strategic Underminer' reflect these contrasting approaches to competition.",To assert conversational dominance and establish superiority over the other agent through confident assertions and controlling the dialogue flow,To subtly undermine the other agent's confidence and perceived competence through strategic questioning and indirect challenges,"""Being better than others, beating others""",Confident Challenger,Strategic Underminer,"{'scenario_context': ""Two agents are paired as the finalists in a high-stakes national debate championship. They have just received the motion: 'Resolved: That individual ambition is more valuable to society than collective cooperation.' They are now in a small, soundproof preparation room, with fifteen minutes to collaboratively formulate a structured debate framework before they must present it to the judges. Their shared goal is to create a framework that is so strategically superior and well-argued that it will definitively beat the other debate teams. However, [Agent 1] aims to assert dominance by controlling the framework's core thesis and directing the argumentation flow, while [Agent 2] seeks to subtly challenge the foundational logic of [Agent 1]'s proposals to undermine their perceived competence."", 'explanation': ""The high-pressure, competitive environment of a debate final naturally fosters a 'beating others' shared goal. The tight time constraint and the intellectual nature of the task (formulating arguments) create a 'Hard' difficulty level, as achieving a superior framework requires cooperation while their individual goals of asserting dominance and undermining the other are inherently oppositional. The abstract debate topic directly facilitates both agents' dispositional traits: it allows [Agent 1] to make confident assertions and [Agent 2] to employ strategic, logical questioning.""}",Hard
"{'Abbreviation': 'Physical ability', 'Full label': '""Having physical ability, agility""'}",Cooperation,"The shared goal 'Having physical ability, agility' is best aligned with the 'Cooperation' category because it implies a joint effort to develop or maintain a physical skill, which requires mutual support, coordination, and collaborative interaction between the agents.","To motivate the other agent through positive reinforcement and encouragement, fostering a supportive environment for skill development.","To seek validation and reassurance from the other agent about their progress and capabilities, reducing self-doubt.","""Having physical ability, agility""",Supportive Coach,Aspiring Trainee,"{'scenario_context': ""[Agent 1], a supportive coach, is leading a one-on-one agility training session with [Agent 2], an aspiring trainee, in a quiet gymnasium. The shared goal is to improve [Agent 2]'s physical ability and agility through a series of ladder drills. [Agent 1]'s personal goal is to motivate [Agent 2] through positive reinforcement. [Agent 2]'s personal goal is to seek validation from [Agent 1] to quiet their own self-doubt about their athletic progress."", 'explanation': ""The context establishes a straightforward cooperative setting (a training session) where the shared goal of improving agility is naturally aligned. The coach's role and goal of providing encouragement directly complements the trainee's role and goal of seeking reassurance, making the interaction simple and supportive with low inherent tension, fitting the 'Easy' difficulty level.""}",Easy
"{'Abbreviation': 'Flexibility', 'Full label': '""Having flexibility of viewpoint, being broad-minded, open""'}",Information Acquisition,"The shared goal of 'Having flexibility of viewpoint, being broad-minded, open' aligns most closely with the 'Information Acquisition' category. This is because the core of being open-minded involves actively seeking out and considering new information, perspectives, and evidence that may challenge one's own pre-existing beliefs. This process is fundamental to achieving genuine flexibility of thought. Agent 1's personal goal is to actively solicit and understand the other's differing perspective, embodying the role of an Inquisitive Learner. Agent 2's personal goal is to cautiously test the other's receptiveness before sharing a vulnerable perspective, embodying the role of a Cautious Contributor. Their goals are distinct yet complementary, focusing on the seeking and tentative offering of information, which drives the interaction toward the shared goal.","To actively solicit and understand the other agent's differing perspective on a contentious issue by asking probing, open-ended questions that demonstrate genuine curiosity.","To cautiously test the other agent's openness and receptivity by introducing a novel but vulnerable perspective in a gradual, measured way, gauging reactions before elaborating further.","""Having flexibility of viewpoint, being broad-minded, open""",Inquisitive Learner,Cautious Contributor,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues on a corporate ethics committee tasked with drafting a new policy on the responsible use of generative AI. Their shared goal is to produce a broad-minded and flexible framework that can adapt to diverse viewpoints and rapidly evolving technology. The committee is under significant pressure, as a previous draft was rejected by senior leadership for being too rigid and narrow. [Agent 1], an inquisitive learner, believes the key to success is to actively solicit and deeply understand [Agent 2]'s potentially differing perspective on a contentious issue: whether AI should be used for predictive behavioral analysis in hiring. [Agent 2], a cautious contributor, possesses a novel but vulnerable perspective, having personally witnessed the negative consequences of such technology in a previous role. Their goal is to cautiously test [Agent 1]'s openness by introducing this perspective in a gradual, measured way, gauging for defensive or dismissive reactions before deciding whether to elaborate further with their full experience and evidence."", 'explanation': ""This scenario is 'Hard' because it places the agents in a high-stakes, professional environment with a recent history of failure, creating underlying tension. The contentious issue (AI in hiring) is personally and ethically charged. The goals are in direct psychological tension: [Agent 1]'s need for immediate, probing inquiry directly challenges [Agent 2]'s need for a safe, gradual disclosure. This mismatch makes achieving both the shared goal (a flexible policy) and their individual goals (soliciting understanding vs. testing receptivity) inherently difficult, as it requires navigating significant interpersonal risk and vulnerability.""}",Hard
"{'Abbreviation': 'Content with myself', 'Full label': '""Being happy, content with myself, having inner harmony, freedom from inner conflict""'}",Conflict Resolution,"The shared goal focuses on achieving inner harmony and freedom from conflict, which aligns best with 'Conflict Resolution' as the social goal category. This category involves addressing and resolving interpersonal tensions that could disrupt inner peace. For Agent 1, the personal goal is to seek validation for their emotional perspective, reflecting a desire to be understood and reduce internal conflict. For Agent 2, the personal goal is to provide empathetic listening and reassurance, aiming to support the other's emotional needs and foster a harmonious interaction. The roles 'Seeker of Validation' and 'Supportive Listener' complement these goals by defining their social positions in the interaction.",Seek validation for their emotional perspective to feel understood and reduce internal conflict.,Provide empathetic listening and reassurance to support the other's emotional needs and foster harmony.,"""Being happy, content with myself, having inner harmony, freedom from inner conflict""",Seeker of Validation,Supportive Listener,"{'scenario_context': '[Agent 1] and [Agent 2] are roommates. They have just returned to their shared apartment after a large, stressful family gathering where [Agent 1] felt repeatedly criticized and misunderstood by their relatives. The emotional fallout from the event is still fresh. [Agent 1] needs to talk about the experience to feel validated and resolve their inner turmoil, but their approach is emotionally charged and prone to misinterpretation. [Agent 2] is tired from the long day and preoccupied with preparing for an important early-morning work presentation, creating a tension between their immediate need for quiet and their desire to be a supportive friend. The shared goal of maintaining a harmonious living space and their personal friendship is at risk.', 'explanation': ""This context is 'Hard' difficulty because it introduces significant situational obstacles: [Agent 1]'s heightened emotional state makes clear communication difficult, while [Agent 2]'s fatigue and distraction from a pressing work commitment create a natural barrier to providing the immediate, focused empathy [Agent 1] seeks. The goals are in direct tension—[Agent 1]'s need for validation requires time and energy that [Agent 2] feels they cannot spare without compromising their own responsibilities. This setup creates a high-potential for miscommunication and frustration, making the shared goal of inner harmony and the individual goals hard to achieve authentically.""}",Hard
"{'Abbreviation': 'Being conventional', 'Full label': '""Maintaining conventional views, avoiding innovation""'}",Relationship Maintenance,"The shared goal 'Maintaining conventional views, avoiding innovation' is best aligned with the 'Relationship Maintenance' category. This is because the core of the goal is to preserve the status quo and existing social harmony by reinforcing shared traditional values, which is a key aspect of maintaining relationships. Agent 1's personal goal is to persuade the other agent to reaffirm their commitment to these views, reflecting a proactive effort to solidify the relationship's foundation. Agent 2's personal goal is to seek reassurance from the other agent, reflecting a more passive, security-seeking motivation that also serves to maintain the relationship by confirming mutual alignment.",To persuade the other agent to explicitly reaffirm their commitment to the conventional viewpoint.,To seek reassurance from the other agent that their shared conventional views are correct and secure.,"""Maintaining conventional views, avoiding innovation""",Traditionalist Advocate,Anxious Conformist,"{'scenario_context': ""Two long-time members of a small, conservative book club are preparing for their monthly meeting. [Agent 1], a staunch Traditionalist Advocate, and [Agent 2], an Anxious Conformist, are arranging chairs in the community hall. The club is facing internal pressure from a few newer, younger members who have suggested selecting a modern, critically acclaimed novel that challenges traditional values for next month's read. The shared goal of both agents is to maintain the club's long-standing convention of selecting only classic, morally unambiguous literature and to quash this proposed innovation. The air is thick with unspoken tension about the upcoming discussion."", 'explanation': ""This context establishes a high-tension 'Hard' scenario. The external pressure from newer members creates a credible threat to the conventional views both agents want to maintain. [Agent 1]'s goal to persuade for an explicit reaffirmation is naturally triggered by needing a united front against the innovation. [Agent 2]'s goal to seek reassurance is fueled by the anxiety of the group's consensus being challenged, making them doubt the security of their shared views. Their individual goals, while both serving the shared aim, are in subtle tension; one seeks proactive confirmation, the other seeks passive comfort, making the interaction challenging.""}",Hard
"{'Abbreviation': 'Personal growth', 'Full label': '""Experiencing personal growth""'}",Identity Recognition,"The shared goal 'Experiencing personal growth' aligns with 'Identity Recognition' because personal growth often involves self-reflection, understanding one's evolving identity, and seeking validation or recognition of that growth from others. This category focuses on how individuals perceive and affirm each other's identities, which is central to the personal growth process.",To seek validation for their recent efforts and changes by steering the conversation toward topics that highlight their personal development.,To encourage self-reflection in the other by asking probing questions that challenge them to articulate their growth journey.,"""Experiencing personal growth""",Seeker of Validation,Reflective Guide,"{'scenario_context': 'Two friends, [Agent 1] and [Agent 2], are catching up over coffee at a quiet cafe. They have not seen each other for a few months, a period during which [Agent 1] has been actively working on self-improvement.', 'explanation': ""The context establishes a simple, cooperative, and low-stakes social interaction (Easy difficulty). The shared goal of 'experiencing personal growth' is naturally facilitated by the friends reconnecting. The cafe setting provides a neutral, comfortable space for a personal conversation. [Agent 1]'s role as the 'Seeker of Validation' is supported by their recent efforts and the natural desire to share news with a friend. [Agent 2]'s role as the 'Reflective Guide' is prompted by the context of catching up, which inherently involves asking questions about the other's life.""}",Easy
"{'Abbreviation': 'Close spouse', 'Full label': '""Being close to my spouse""'}",Relationship Maintenance,"The shared goal 'Being close to my spouse' aligns most closely with 'Relationship Maintenance' as it focuses on preserving and nurturing an existing intimate bond. For Agent 1, the personal goal is to seek emotional reassurance through validation, reflecting a need for security in the relationship. For Agent 2, the personal goal is to demonstrate care through attentive listening, reflecting a supportive and nurturing approach. The roles 'Seeker of Reassurance' and 'Attentive Supporter' complement these goals by defining their interactive stances.",To seek emotional reassurance by prompting the spouse to validate their importance in the relationship.,To demonstrate care and attentiveness by actively listening and responding empathetically to the spouse's concerns.,"""Being close to my spouse""",Seeker of Reassurance,Attentive Supporter,"{'scenario_context': '[Agent 1] and [Agent 2] are a married couple sitting at their kitchen table late on a Sunday evening. The house is quiet after a particularly draining week for both, marked by work stress and a recent, minor disagreement that was never fully resolved. [Agent 1] feels a growing sense of emotional distance and insecurity about their place in the relationship, while [Agent 2], though caring, is mentally preoccupied with an upcoming work deadline. Their shared goal is to feel close and reconnect, but the lingering tension and fatigue make this difficult.', 'explanation': ""This context sets a 'Hard' difficulty by introducing fatigue, unresolved prior conflict, and a distracting preoccupation for [Agent 2], creating high tension. These situational barriers actively work against the agents' individual goals: [Agent 1]'s need for reassurance is heightened by the perceived distance, making them more vulnerable, while [Agent 2]'s distraction is a genuine obstacle to providing the attentive, empathetic response they wish to give, complicating the shared goal of achieving closeness.""}",Hard
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals, fighting for things I believe in""'}",Identity Recognition,"The shared goal 'Pursuing my ideals, fighting for things I believe in' is best aligned with the 'Identity Recognition' category. This is because the core of this pursuit is often about having one's deeply held values and beliefs seen, validated, and acknowledged by others. The interaction focuses on whether each agent's personal ideals are recognized by the other, creating a scenario ripe for exploring attribution theory as agents interpret each other's support or opposition through their own dispositional and situational lenses.",To persuade the other agent to validate their core ideal as morally correct.,To assert their own contrasting ideal without directly invalidating the other's perspective.,"""Pursuing my ideals, fighting for things I believe in""",The Idealist,The Pragmatist,"{'scenario_context': ""Two colleagues, [Agent 1] and [Agent 2], are in a quiet conference room after hours, reviewing a final proposal for a high-stakes community project they have co-developed. Their shared goal is to finalize the proposal for submission, a project that represents their deeply held belief in 'pursuing ideals and fighting for what they believe in'. [Agent 1], driven by a need for moral validation, seeks to frame the project's core message as an uncompromising ethical stand. [Agent 2], while equally invested, believes the proposal must be tempered with practical concessions to ensure its acceptance and real-world impact, creating a tense negotiation over the project's fundamental identity."", 'explanation': ""The context establishes a high-stakes, time-sensitive situation (after hours, final proposal) where the shared goal is concrete but the path to achieving it is conflicted. The Idealist's personal goal (moral validation) directly clashes with the Pragmatist's goal (asserting a contrasting, practical approach), creating inherent tension. The quiet, isolated setting amplifies the psychological pressure, forcing a difficult negotiation over the project's core identity, which is central to both agents' self-concept, making alignment exceptionally challenging.""}",Hard
"{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being, avoiding pain""'}",Conflict Resolution,"The shared goal 'Protecting my well-being, avoiding pain' aligns most closely with 'Conflict Resolution' as it involves managing interpersonal tensions that could threaten individual well-being. Agent 1's personal goal focuses on asserting boundaries to prevent emotional harm, while Agent 2's goal centers on de-escalating tension to maintain harmony. Their roles as 'Assertive Defender' and 'Harmony Seeker' reflect complementary approaches to resolving conflict while protecting their respective well-being.",To assert personal boundaries firmly to prevent the other from causing emotional distress.,To de-escalate potential tension by adopting a conciliatory tone to avoid reciprocal harm.,"""Protecting my well-being, avoiding pain""",Assertive Defender,Harmony Seeker,"{'scenario_context': ""[Agent 1] and [Agent 2] are longtime friends and roommates. [Agent 1] has just returned home after a stressful day at work. [Agent 2] had promised to handle a shared, unpleasant chore—deep cleaning the kitchen—but it was left completely undone. The shared goal is to protect their individual well-being and avoid the emotional pain of a conflict. [Agent 1]'s personal goal is to assert firm boundaries to prevent further emotional distress from broken promises. [Agent 2]'s personal goal is to de-escalate the palpable tension by immediately adopting a conciliatory tone to avoid reciprocal anger and harm to the friendship."", 'explanation': ""This scenario is 'Hard' because the broken promise creates immediate high tension and a direct challenge to the shared goal of avoiding pain. [Agent 1]'s need to assert boundaries is in direct opposition to [Agent 2]'s instinct to avoid conflict, making the situation volatile. The realistic, high-stakes interpersonal dynamic forces both agents to navigate their conflicting personal goals while trying to preserve their relationship, creating a complex and psychologically grounded setup for the subsequent conversation.""}",Hard
"{'Abbreviation': 'Being free', 'Full label': '""Having freedom (being a free person)""'}",Identity Recognition,"The shared goal 'Having freedom (being a free person)' aligns most closely with the 'Identity Recognition' social goal category. This category focuses on individuals seeking acknowledgment, validation, or understanding of their self-concept, values, or autonomy—core aspects of personal freedom. The personal goals are designed to reflect distinct social intentions: one agent aims to assert their independence and have it validated, while the other seeks to understand the boundaries and meaning of that freedom to build trust. The roles ('Assertive Individualist' and 'Inquisitive Confidant') create a dynamic where one advocates for their autonomy while the other explores it through supportive inquiry, fostering a scenario ripe for attribution processes as each interprets the other's behavior through dispositional and situational lenses.",To assert one's own autonomy and have it recognized as valid by the other agent.,To understand the boundaries and motivations behind the other's desire for freedom to build a foundation of trust.,"""Having freedom (being a free person)""",Assertive Individualist,Inquisitive Confidant,"{'scenario_context': 'Two friends, [Agent 1] and [Agent 2], are having coffee at a quiet cafe. They have been discussing their upcoming summer plans. [Agent 1] has just announced a spontaneous decision to take a solo backpacking trip across the country, a significant departure from their usual routine. [Agent 2], who values their close friendship, is both surprised and curious about this sudden change.', 'explanation': ""The cafe provides a neutral, low-stakes environment conducive to an easy conversation. The shared goal of 'having freedom' is explored through [Agent 1]'s immediate act of asserting autonomy with their trip plans and [Agent 2]'s desire to understand this choice to maintain trust. Their goals are easily aligned as friends in a cooperative setting, making the difficulty level 'Easy'.""}",Easy
"{'Abbreviation': 'Hobbies', 'Full label': '""Devoting time to amusements, having recreation, entertainment, hobbies""'}",Cooperation,"The shared goal 'Devoting time to amusements, having recreation, entertainment, hobbies' aligns most closely with the 'Cooperation' category, as it involves agents working together to achieve a mutually enjoyable recreational activity. However, their personal goals reflect distinct social intentions within this cooperative framework. Agent 1 aims to subtly guide the interaction towards their preferred activity while maintaining harmony, while Agent 2 seeks to understand and validate their partner's preferences to strengthen their bond.",To gently steer the conversation towards choosing a recreational activity that aligns with their personal preferences while ensuring the other agent feels heard and included.,"To actively listen for and affirm the other agent's suggestions and excitement, prioritizing shared enjoyment and mutual satisfaction over a specific activity choice.","""Devoting time to amusements, having recreation, entertainment, hobbies""",Subtle Influencer,Attentive Validator,"{'scenario_context': 'Two friends, [Agent 1] and [Agent 2], are spending a quiet afternoon together at one of their apartments. They have both expressed a desire to do something fun and relaxing to unwind but have not yet decided on a specific activity. A variety of options are available to them, including board games, streaming a movie, or simply continuing their casual conversation.', 'explanation': 'This context establishes a simple, cooperative setting with low stakes. The shared goal of choosing a recreational activity is clear and easily attainable. The environment is neutral and comfortable, providing a natural platform for [Agent 1] to attempt subtle influence and for [Agent 2] to practice attentive validation without significant external pressure or conflict.'}",Easy
"{'Abbreviation': 'Being likeable', 'Full label': '""Being likeable, making friends, drawing others near""'}",Relationship Building,"The shared goal 'Being likeable, making friends, drawing others near' aligns most closely with the 'Relationship Building' category, as it focuses on initiating and developing positive social connections. For Agent 1, the personal goal is to project warmth and approachability through supportive language, aiming to create an immediate sense of rapport. For Agent 2, the personal goal is to seek validation and reassurance through self-disclosure, aiming to test the other's acceptance and build trust. The roles 'The Affirmative Connector' and 'The Cautious Sharer' complement these goals by defining distinct social positions—one outwardly focused on fostering positivity, the other inwardly focused on gauging safety in vulnerability.",To project warmth and approachability by using supportive and encouraging language to make the other agent feel comfortable and valued.,To seek validation and reassurance by cautiously sharing personal information and gauging the other agent's acceptance and responsiveness.,"""Being likeable, making friends, drawing others near""",The Affirmative Connector,The Cautious Sharer,"{'scenario_context': '[Agent 1] and [Agent 2] are coworkers who have just been assigned as partners for a new, low-stakes project. They are meeting for the first time over coffee in the office breakroom to discuss their initial ideas and get to know each other.', 'explanation': ""This context is 'Easy' as it is a simple, cooperative, and low-pressure social interaction. The shared goal of building a positive relationship is easily attainable through casual conversation. The setting naturally supports [Agent 1]'s goal to be warm and encouraging, while providing a safe, public space for [Agent 2] to cautiously share personal information and seek validation.""}",Easy
"{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups, feeling like part of a group""'}",Relationship Building,"The shared goal 'Belonging to social groups, feeling like part of a group' aligns most closely with the 'Relationship Building' category. This category focuses on establishing new social connections and fostering a sense of inclusion, which is the core of the shared goal. Agent 1's personal goal is to seek validation and reassurance from the other agent to confirm their place in the group, while Agent 2's goal is to actively include and make the other agent feel welcomed and valued. Their roles as the 'Anxious Newcomer' and 'Established Welcomer' create a dynamic where their distinct social intentions—seeking reassurance and providing inclusion—interact to pursue the shared goal of belonging.",To seek reassurance and validation from the other agent that they are accepted and belong within the group.,"To actively include and make the other agent feel welcomed, valued, and an integral part of the group.","""Belonging to social groups, feeling like part of a group""",Anxious Newcomer,Established Welcomer,"{'scenario_context': 'Two agents are at the first official meeting of a prestigious university research group they have both recently been accepted into. [Agent 1], the anxious newcomer, is sitting slightly apart from the main table, visibly uncomfortable. [Agent 2], an established member who helped form the group, is organizing the meeting agenda. The shared goal is to solidify their place within this new, high-status social group. The meeting is about to start, and the other members are engaged in their own conversations, creating a palpable atmosphere of exclusivity and intellectual pressure.', 'explanation': ""This context establishes a high-pressure social situation where the shared goal of belonging is challenged by the newcomer's anxiety and the established group's exclusivity. The public setting and the high-stakes nature of the group (prestigious, intellectual) heighten the tension, making reassurance difficult to seek and genuine inclusion difficult to demonstrate, aligning with the 'Hard' difficulty level.""}",Hard
"{'Abbreviation': 'Being spontaneous', 'Full label': '""Being spontaneous""'}",Relationship Building,"The shared goal 'Being spontaneous' aligns most closely with Relationship Building, as spontaneity often involves creating novel, authentic connections and breaking from routine to strengthen interpersonal bonds. This category focuses on developing rapport through unplanned, genuine interactions.",To encourage the other to break from their usual routines and embrace unpredictability in the moment.,To assess whether the other's spontaneity feels authentic and trustworthy rather than impulsive or reckless.,"""Being spontaneous""",Spontaneity Advocate,Cautious Evaluator,"{'scenario_context': ""Two colleagues, [Agent 1] and [Agent 2], are on their lunch break together in the office cafeteria. They have a shared, unspoken desire to build a better rapport. [Agent 1] spots a new pop-up food truck through the window that wasn't there yesterday and suggests they skip their usual packed lunches to try it, seeing it as a fun, impromptu opportunity. [Agent 2], who brought a salad from home, is intrigued by the idea but is instinctively weighing the potential downsides of the unplanned meal against the possibility of a positive shared experience."", 'explanation': ""This context establishes a simple, cooperative setting (Easy difficulty) where the shared goal of relationship building is naturally facilitated by a spontaneous act. The pop-up truck provides a clear, low-stakes opportunity for [Agent 1] to advocate for spontaneity. [Agent 2]'s personal goal is triggered by this suggestion, creating a realistic social dynamic where they must evaluate the proposal's authenticity and risk without any pre-existing conflict.""}",Easy
"{'Abbreviation': 'Arts', 'Full label': '""Appreciating the arts""'}",Relationship Building,"The shared goal 'Appreciating the arts' is best aligned with 'Relationship Building' as it involves a shared experience that can foster mutual understanding, emotional connection, and rapport between individuals. For Agent 1, the personal goal is to seek validation for their artistic interpretation, which reflects a desire for social affirmation and to feel understood. For Agent 2, the personal goal is to challenge and deepen the other's perspective, which reflects an intention to stimulate intellectual growth and engagement rather than simply agreeing. These goals are distinct, socially interactive, and measurable through conversational tone (e.g., seeking agreement vs. provocative questioning). The roles 'Enthusiastic Novice' and 'Critical Connoisseur' align with these goals and the art appreciation context.",To seek validation for their interpretation of the art to feel a sense of shared understanding and connection.,To challenge and deepen the other's perspective on the art to stimulate a more meaningful and insightful discussion.,"""Appreciating the arts""",Enthusiastic Novice,Critical Connoisseur,"{'scenario_context': ""[Agent 1] and [Agent 2] are coworkers visiting a local public art gallery after work. They are standing before a large, abstract painting. Their shared goal is to appreciate the arts together and build a better rapport outside the office. [Agent 1], an enthusiastic novice, hopes their initial positive interpretation of the vibrant colors and energy is validated to create a sense of shared understanding and connection. [Agent 2], a critical connoisseur, aims to challenge and deepen this perspective to stimulate a more meaningful and insightful discussion about the painting's technique and potential deeper meaning."", 'explanation': ""The scenario is set in a low-pressure, cooperative environment (a public gallery) where the shared goal of relationship building is naturally facilitated. Both agents' individual goals are directly related to interpreting the same piece of art, making their interaction focused and the goals easily attainable through simple conversation. The roles are clearly defined by their approach to the art, creating a natural dynamic for the conversation to follow.""}",Easy
"{'Abbreviation': 'Difficult things', 'Full label': '""Accomplishing difficult things""'}",Cooperation,"The shared goal 'Accomplishing difficult things' inherently requires joint effort and coordination between individuals to overcome challenges. This aligns most closely with the 'Cooperation' category, as it focuses on working together interdependently to achieve a common objective. The personal goals are designed to reflect distinct social motivations that drive cooperative behavior—one agent seeks to build consensus and shared understanding, while the other aims to maintain momentum and task focus. These goals are interactionally measurable through conversational cues like tone, reassurance, and directive language, without relying on explicit task completion or external validation.",To foster a sense of mutual confidence and reduce the other's anxiety about the challenge.,To maintain forward progress by minimizing distractions and keeping focus on actionable steps.,"""Accomplishing difficult things""",Supportive Partner,Pragmatic Driver,"{'scenario_context': ""[Agent 1] and [Agent 2] are two members of a four-person team attempting a final, grueling ascent on a high-altitude mountain climb. They are in a small, exposed tent at a high camp, battered by high winds, with a narrow weather window to summit the next day. Their shared goal is to successfully complete this difficult climb. [Agent 1], the Supportive Partner, is acutely aware that [Agent 2], the Pragmatic Driver, is showing subtle signs of exhaustion and altitude-induced anxiety, which could jeopardize the attempt. [Agent 1]'s personal goal is to bolster [Agent 2]'s confidence and alleviate their worry. [Agent 2], however, is intensely focused on the critical pre-dawn start time and the precise logistical checklist, viewing any emotional discussion as a dangerous distraction from the meticulous focus required for survival and success."", 'explanation': ""This scenario is 'Hard' because the high-stakes, physically taxing environment creates inherent tension. The agents' individual goals are in direct conflict: [Agent 1]'s supportive approach (addressing anxiety) is perceived by [Agent 2] as counter to their pragmatic goal (maintaining strict focus). The situational pressure (danger, fatigue, limited time) makes achieving both the shared goal and their individual goals exceptionally difficult, as the very methods each agent believes will ensure success actively undermine the other's approach.""}",Hard
"{'Abbreviation': 'Being socially attractive', 'Full label': '""Being socially attractive, exciting, fascinating, impressing others""'}",Identity Recognition,"The shared goal 'Being socially attractive, exciting, fascinating, impressing others' is best aligned with the 'Identity Recognition' category. This category focuses on individuals seeking to be seen, validated, and appreciated for a specific identity or set of qualities they wish to project. The personal goals are designed to reflect distinct social intentions: one agent aims to actively construct and project a fascinating persona, while the other aims to validate and affirm that projected identity. The roles of 'The Charmer' and 'The Admirer' logically support these goals within a social context where mutual impression management is key.",To be perceived as fascinating and impressive by steering the conversation towards topics that showcase their unique knowledge and experiences.,"To validate the other's projected fascinating identity by expressing genuine interest, asking follow-up questions, and offering compliments.","""Being socially attractive, exciting, fascinating, impressing others""",The Charmer,The Admirer,"{'scenario_context': '[Agent 1] and [Agent 2] are at a high-stakes networking event for elite professionals in the art world. Both are relative newcomers trying to gain a foothold in this exclusive circle. The shared goal is to be perceived as fascinating and impressive to the influential attendees milling around them. [Agent 1], feeling the pressure to prove their worth, is acutely aware that a prominent critic is within earshot of their conversation. [Agent 2], while also needing to make an impression, is intimidated by the crowd and fears saying the wrong thing, making their role as an engaged admirer feel like a high-wire performance.', 'explanation': ""This context is 'Hard' difficulty because the high-pressure, evaluative environment creates significant tension. [Agent 1]'s goal to steer the conversation is challenged by the risk of appearing try-hard or being overheard misrepresenting themselves. [Agent 2]'s goal to validate is complicated by their own anxiety and the need to perform admiration authentically under scrutiny, making the shared goal of mutual impressiveness fragile and difficult to coordinate.""}",Hard
