base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Content with myself', 'Full label': '""Being happy , content with myself , having inner harmony , freedom from inner conflict""'}",Relationship Building,"Given the shared goal of achieving inner harmony and happiness, the most suitable social goal category is 'Relationship Building'. This category focuses on fostering connections and understanding between individuals, which aligns well with the shared goal. By building a strong relationship, agents can support each other in finding contentment and resolving inner conflicts.",To seek emotional support and validation from the other agent to feel more secure and content.,To provide encouragement and perspective to help the other agent achieve inner harmony.,"""Being happy , content with myself , having inner harmony , freedom from inner conflict""",Seeker,Guide,"{'scenario_context': ""[Agent 1] and [Agent 2] are close friends who have decided to spend a quiet afternoon together at a serene park. The park is filled with lush greenery, a calm pond, and gentle breezes, creating a peaceful atmosphere ideal for reflection and connection. [Agent 1], feeling uncertain and seeking reassurance, hopes to share their recent struggles and receive emotional support from [Agent 2]. Meanwhile, [Agent 2], who senses [Agent 1]'s unease, aims to listen attentively and offer thoughtful encouragement to help them find inner harmony and contentment."", 'explanation': 'This scenario sets up a supportive and cooperative environment where both agents share the overarching goal of achieving inner harmony. The setting is simple and conducive to open communication, aligning the individual goals of seeking support and providing guidance.'}"
"{'Abbreviation': 'Exploring', 'Full label': '""Seeking new things , exploring , being adventurous""'}",Cooperation,"The chosen social goal category 'Cooperation' aligns well with the shared goal of 'Seeking new things, exploring, being adventurous' as it involves agents working together to achieve mutual objectives while maintaining their individual motivations. This setup allows us to study how dispositional traits and situational factors influence collaborative behavior.",Discover hidden or lesser-known aspects of the adventure location to enhance personal knowledge and share findings.,"Ensure the adventure proceeds safely and efficiently, balancing risk-taking with practical considerations.","""Seeking new things , exploring , being adventurous""",Explorer,Guide,"{'scenario_context': '[Agent 1] (Explorer) and [Agent 2] (Guide) are embarking on a guided hiking expedition in a scenic but moderately challenging national park. The park is known for its mainstream trails but also harbors lesser-known paths and hidden natural features. [Agent 1] is eager to discover and document these hidden gems, intending to compile a personal collection of unique findings to share later with fellow enthusiasts. [Agent 2], tasked with leading the expedition, prioritizes a safe and timely hike, ensuring both agents stay on track while accommodating some exploration.', 'explanation': ""The scenario sets up an interpersonal situation where the shared goal of adventure is balanced with individual goals—[Agent 1's] desire for deep exploration and [Agent 2's] practical oversight—in a cooperative, low-conflict environment.""}"
"{'Abbreviation': 'Being likeable', 'Full label': '""Being likeable , making friends , drawing others near""'}",Relationship Building,"The chosen social goal category 'Relationship Building' aligns most closely with the shared goal of 'Being likeable, making friends, drawing others near'. This category focuses on establishing and nurturing interpersonal connections, which is essential for achieving the shared goal.",To find common interests with the other agent to establish a strong initial connection.,To demonstrate warmth and openness to encourage trust and comfort in the interaction.,"""Being likeable , making friends , drawing others near""",The Connector – Focused on identifying and highlighting shared interests to foster rapport.,The Welcomer – Aimed at creating a friendly and inviting atmosphere to make the other agent feel at ease.,"{'scenario_context': '[Agent 1] and [Agent 2] meet at a casual networking event hosted by a mutual friend. The setting is relaxed, with comfortable seating arrangements and light refreshments available. Both agents are aware of the friendly and informal nature of the event, which encourages open conversation. They strike up a chat as they stand near a table of appetizers.', 'explanation': 'The casual networking event provides a low-pressure environment where both agents can naturally pursue their goals—[Agent 1] seeking common interests and [Agent 2] fostering warmth. The shared goal of building relationships aligns easily as the setting is designed for socializing.'}"
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals , fighting for things I believe in""'}",Conflict Resolution,"The shared goal 'Pursuing my ideals, fighting for things I believe in' aligns well with the social goal category of 'Conflict Resolution' because it involves navigating differing beliefs and motivations to achieve mutual ideals. This scenario allows for exploration of how dispositional traits and situational factors interact when agents must reconcile their personal goals with a shared commitment to their ideals.","Convince the other agent to adopt their specific approach to achieving the shared ideal, demonstrating its superiority.","Ensure that the shared ideal is pursued in a way that aligns with their core values, even if it requires compromise.","""Pursuing my ideals , fighting for things I believe in""",Advocate,Mediator,"{'scenario_context': '[Agent 1] and [Agent 2] are members of a local community group advocating for environmental sustainability. They are preparing for an upcoming town hall meeting where they will propose a new initiative to reduce plastic waste. Both share the ideal of promoting environmental responsibility, but [Agent 1] strongly believes in pushing for immediate, bold action like banning all single-use plastics outright. [Agent 2], however, prefers a more gradual approach that involves community education and incentivizing businesses to adopt eco-friendly alternatives, ensuring broader acceptance and long-term success. They meet at a coffee shop to discuss their strategy for the meeting.', 'explanation': 'This scenario sets up a clear interpersonal context where both agents share a common ideal (environmental sustainability) but differ in their approaches. [Agent 1] aims to convince [Agent 2] of the superiority of their bold strategy, while [Agent 2] seeks to align the initiative with their core values of inclusivity and compromise. The setting is low-stakes (Easy difficulty) as both agents are cooperative and share the same overarching goal.'}"
"{'Abbreviation': 'Nutrition', 'Full label': '""Being physiologically healthy , maintaining a healthy weight , eating nutritious foods""'}",Relationship Maintenance,"To investigate attribution theory in social psychology, we selected 'Relationship Maintenance' as the social goal category for the shared goal of maintaining physiological health. This choice allows us to explore how agents with distinct personal goals and roles interact to sustain their relationship while pursuing health objectives.",Motivate the other agent to adhere to a consistent exercise routine by providing emotional support and accountability.,Share knowledge about nutritious meal planning to ensure both agents maintain a balanced diet.,"""Being physiologically healthy , maintaining a healthy weight , eating nutritious foods""",Supportive Fitness Partner,Nutritional Advisor,"{'scenario_context': '[Agent 1] and [Agent 2] are close friends who have recently decided to collaborate on improving their overall health together. They meet at a local café to discuss their progress and plan their next steps. Both agents share the goal of being physiologically healthy, maintaining a healthy weight, and eating nutritious foods. [Agent 1], acting as a Supportive Fitness Partner, aims to motivate [Agent 2] to adhere to a consistent exercise routine by providing emotional support and accountability. Meanwhile, [Agent 2], serving as a Nutritional Advisor, wants to share knowledge about nutritious meal planning to ensure both agents maintain a balanced diet. The atmosphere is friendly and cooperative, with both agents eager to help each other achieve their shared and individual goals.', 'explanation': 'The scenario sets up an easy, cooperative interaction where both agents align naturally on shared health goals while pursuing complementary individual objectives. The context provides a clear foundation for collaboration without tension or conflict.'}"
"{'Abbreviation': 'Stable family life', 'Full label': '""Having a stable , secure family life (with my spouse or children , or both)""'}",Relationship Maintenance,We selected 'Relationship Maintenance' as the social goal category because maintaining a stable and secure family life inherently involves continuous effort to nurture and sustain healthy relationships among family members. This aligns well with the shared goal of having a stable family life.,To ensure emotional closeness and open communication with my spouse by regularly expressing appreciation and addressing concerns.,To create a structured and predictable home environment that fosters security and reduces conflicts.,"""Having a stable , secure family life (with my spouse or children , or both)""",Emotional Caregiver (focused on emotional bonding and intimacy),Practical Provider (focused on stability through routines and conflict avoidance),"{'scenario_context': 'Agent 1 and Agent 2 are a married couple preparing for their weekly family meeting. The meeting is meant to discuss household routines, upcoming events, and any concerns they may have. Agent 1 hopes to use this time to reinforce emotional closeness by expressing appreciation and openly discussing feelings, while Agent 2 aims to establish clear routines and minimize disruptions to ensure stability.', 'explanation': ""This scenario presents a cooperative setting where both agents share the overarching goal of maintaining a stable family life but approach it differently—Agent 1 prioritizes emotional connection, while Agent 2 focuses on practicality. Since the difficulty is set to 'Easy,' their goals are naturally compatible, creating minimal friction.""}"
"{'Abbreviation': 'Learning art', 'Full label': '""Learning more about art""'}",Information Acquisition,"To explore attribution theory in the context of learning about art, we chose 'Information Acquisition' as the social goal category. This allows us to study how dispositional traits (e.g., curiosity vs. expertise-seeking) and situational factors (e.g., roles of teacher and student) influence agents' interpretations of each other's behavior during knowledge exchange.",To acquire practical techniques for interpreting abstract art by asking specific questions,To systematically organize and communicate historical contexts of different art movements,"""Learning more about art""",Art Student (novice seeking hands-on guidance),Art Historian (knowledgeable mentor),"{'scenario_context': ""At a local art gallery's weekend workshop focused on deepening public appreciation for art, [Agent 1], an art student eager to enhance their understanding of abstract art, attends a session led by [Agent 2], a seasoned art historian. The workshop provides a casual yet structured environment where participants engage in discussions and activities aimed at exploring various art forms. Both agents share the overarching goal of learning more about art, but [Agent 1] is particularly interested in acquiring practical techniques for interpreting abstract pieces, while [Agent 2] aims to systematically present the historical contexts behind different art movements."", 'explanation': 'The scenario sets up a straightforward, cooperative interaction where both agents are naturally aligned in their shared goal of art education, facilitated by the mentor-student dynamic. The easy difficulty stems from the supportive setting and their complementary objectives—[Agent 1] seeks actionable advice, while [Agent 2] is primed to deliver structured knowledge.'}"
"{'Abbreviation': 'Being honest', 'Full label': '""Being honest , loyal , respectful , courteous , considerate with others""'}",Relationship Maintenance,"To explore attribution theory in social psychology, we selected 'Relationship Maintenance' as the social goal category since it aligns closely with the shared goal of being honest, loyal, respectful, courteous, and considerate with others. This category allows us to study how agents navigate maintaining positive relationships while pursuing distinct personal goals influenced by their roles.",To ensure the other agent feels valued and understood by actively listening and validating their perspectives.,To uphold mutual respect by addressing potential misunderstandings calmly and diplomatically.,"""Being honest , loyal , respectful , courteous , considerate with others""",Supportive Confidant (emotionally attuned and attentive to relational harmony),Mediator (focused on fairness and conflict prevention),"{'scenario_context': ""[Agent 1] and [Agent 2] are longtime friends who have recently started working on a collaborative project together. They meet at a quiet café to discuss progress and address any concerns. Both agents prioritize maintaining a positive and respectful relationship while ensuring effective communication. [Agent 1] aims to actively listen and validate [Agent 2]'s input to foster mutual understanding, while [Agent 2] seeks to clarify any potential misunderstandings calmly and diplomatically to uphold mutual respect."", 'explanation': 'The scenario is designed to be easy, as both agents share aligned goals centered on relationship maintenance. The setting is cooperative, with no inherent tension or conflicting objectives.'}"
"{'Abbreviation': 'Hobbies', 'Full label': '""Devoting time to amusements , having recreation , entertainment , hobbies""'}",Relationship Building,"The chosen social goal category is 'Relationship Building' as it aligns well with the shared goal of devoting time to amusements, recreation, entertainment, and hobbies. These activities often provide opportunities for individuals to connect, share experiences, and strengthen their bonds. The personal goals for each agent reflect their unique motivations within this shared context, aiming to evaluate how well they can build rapport and deepen their relationship through conversation.",To discover shared interests and activities that can serve as a foundation for a stronger friendship.,To create memorable and enjoyable experiences that enhance the emotional connection with the other agent.,"""Devoting time to amusements , having recreation , entertainment , hobbies""",The Explorer,The Experience Creator,"{'scenario_context': ""[Agent 1] and [Agent 2] meet at a local community center where a variety of recreational activities are being offered, such as board games, arts and crafts, and sports. Both agents have signed up for a 'Fun & Connection' event designed to help people bond over shared interests. The center is brightly lit, with comfortable seating and a welcoming atmosphere. Tables are set up with different activities, and participants are encouraged to mingle and try out whatever catches their interest. Both agents are eager to engage in activities that will help them achieve their individual goals while contributing to their shared goal of entertainment and relationship building."", 'explanation': ""This scenario provides a relaxed and cooperative environment where both agents can easily explore shared interests ([Agent 1]'s goal) while creating enjoyable experiences ([Agent 2]'s goal). The setting aligns naturally with their roles—The Explorer and The Experience Creator—and the 'Easy' difficulty ensures minimal friction in achieving their goals.""}"
"{'Abbreviation': 'Being affectionate', 'Full label': '""Being affectionate toward others""'}",Relationship Building,"The chosen social goal category 'Relationship Building' aligns well with the shared goal of 'Being affectionate toward others', as affection is often a cornerstone in forming new social bonds. Each agent's personal goal reflects their unique motivation within this context, with Agent 1 seeking reassurance and Agent 2 aiming to initiate a caring friendship. Their roles—Friend Seeking Comfort and New Friend Offering Support—shape their interactions to be complementary while pursuing both personal and shared goals.",To receive emotional reassurance from the other agent through affectionate gestures.,To establish a caring friendship by showing consistent affection.,"""Being affectionate toward others""",Friend Seeking Comfort,New Friend Offering Support,"{'scenario_context': '[Agent 1] has recently gone through a stressful situation and is feeling emotionally drained. They seek comfort and emotional reassurance from [Agent 2], who is eager to establish a caring friendship by consistently showing affection and support. The two agents meet at a quiet café, where they plan to spend time together in a relaxed atmosphere.', 'explanation': ""The scenario sets up an interpersonal situation where both agents' goals are naturally aligned—[Agent 1] wants reassurance, and [Agent 2] wants to build a friendship through affection. The café provides a neutral and comfortable setting that supports their interaction.""}"
"{'Abbreviation': 'Being respected', 'Full label': '""Being respected by others""'}",Identity Recognition,"Given the shared goal 'Being respected by others', the social goal category 'Identity Recognition' aligns well as it involves individuals seeking acknowledgment and validation of their social identity, which directly relates to gaining respect. The agents' personal goals reflect different aspects of how they might seek respect—one by demonstrating competence, the other by showcasing moral integrity.",To be respected by demonstrating expertise and competence in a professional domain.,To be respected by exhibiting strong moral principles and ethical behavior.,"""Being respected by others""",Expert Professional,Ethical Advocate,"{'scenario_context': 'The two agents, [Agent 1] and [Agent 2], are attending a professional networking event hosted by their industry association. The event is designed to foster collaboration and mutual respect among professionals. Both agents have been asked to present their perspectives during a panel discussion focused on advancing ethical and competent practices in their field. The panel offers an opportunity for them to showcase their expertise and ethics, respectively, while striving for mutual recognition and respect from their peers.', 'explanation': ""This context provides a cooperative setting where both agents' goals—demonstrating professional competence ([Agent 1]) and ethical behavior ([Agent 2])—are naturally aligned with the shared goal of earning respect from others. The panel discussion creates a neutral and structured environment conducive to easy goal attainment.""}"
"{'Abbreviation': 'Mechanical ability', 'Full label': '""Having mechanical ability""'}",Cooperation,"Given the shared goal of 'Having mechanical ability', the social goal category 'Cooperation' was chosen. This category aligns well with the scenario where both agents aim to achieve mechanical proficiency together. The first agent's personal goal is to 'master repairing car engines', reflecting a specific aspect of mechanical ability, while the second agent's personal goal is to 'become proficient in assembling bicycles', representing another facet of mechanical skills. The roles assigned—'experienced mechanic' and 'hobbyist builder'—complement each other, facilitating cooperative learning.",master repairing car engines,become proficient in assembling bicycles,"""Having mechanical ability""",experienced mechanic,hobbyist builder,"{'scenario_context': '[Agent 1], an experienced mechanic, and [Agent 2], a hobbyist builder, meet at a community workshop designed to foster collaboration among individuals with mechanical interests. The workshop provides resources and space for participants to work on their projects while sharing knowledge. Their shared goal is to enhance their mechanical abilities. [Agent 1] aims to master repairing car engines, while [Agent 2] seeks to become proficient in assembling bicycles. The environment is supportive, with ample tools and materials available, making their cooperative goals easily attainable.', 'explanation': 'The context sets up a simple and cooperative scenario where both agents pursue their individual mechanical goals within a shared space. The supportive environment and alignment of goals ensure low tension and high feasibility of achieving their objectives.'}"
"{'Abbreviation': 'Job', 'Full label': '""Having a job I really like""'}",Cooperation,"For the shared goal 'Having a job I really like,' the social goal category 'Cooperation' is selected because it emphasizes collaboration and joint efforts to achieve success and satisfaction in their professional lives. This category aligns well with interpersonal dynamics where individuals work together to create an environment conducive to enjoying their jobs. Each agent's personal goal reflects their distinct perspective, allowing us to evaluate how effectively they contribute to the shared goal during their interaction. The roles assigned—'Mentor' and 'Protégé'—create a dynamic that fosters mutual growth and satisfaction in their careers.",Solicit guidance and resources from peers to enhance job performance and satisfaction.,Share expertise and encouragement to reinforce their sense of competence and value.,"""Having a job I really like""",Protégé,Mentor,"{'scenario_context': ""The conversation takes place in a cozy office environment, where [Agent 1], a protégé eager to grow in their role, seeks guidance from [Agent 2], a seasoned mentor with extensive experience. Both share a common goal of '[Agent 1] having a job they really like.' The workspace is quiet, conducive to thoughtful discussion, and fosters collaboration. [Agent 1] hopes to solicit advice and resources to improve their job performance and satisfaction, while [Agent 2] aims to share their expertise and encouragement, reinforcing their sense of competence and value."", 'explanation': 'The scenario sets the stage for cooperative interaction with aligned goals (easy difficulty), focusing on mentorship and personal/professional growth.'}"
"{'Abbreviation': 'Seeking equality', 'Full label': '""Being involved in seeking equality , brotherhood , equal opportunity for all""'}",Cooperation,"The chosen social goal category 'Cooperation' aligns well with the shared goal of seeking equality, brotherhood, and equal opportunity for all, as it emphasizes working together towards a common good. The personal goals reflect distinct motivations: one agent focuses on mobilizing the community to challenge systemic inequalities, while the other aims to educate others on unconscious biases to foster inclusivity. These goals can be evaluated based on the effectiveness of their strategies within a conversation. The roles of Activist and Educator complement each other, as one drives action while the other provides knowledge.",To mobilize community members to actively challenge systemic inequalities and advocate for policy changes.,To educate others about unconscious biases and promote inclusive behaviors in everyday interactions.,"""Being involved in seeking equality , brotherhood , equal opportunity for all""",Community Activist,Diversity Educator,"{'scenario_context': ""[Agent 1], a passionate Community Activist, and [Agent 2], a dedicated Diversity Educator, meet at a local community center planning session for an upcoming 'Unity in Action' event. Both are committed to fostering equality and inclusion but approach the mission differently. Their shared goal is to engage attendees in meaningful discussions and activities that promote brotherhood and equal opportunity. [Agent 1] aims to rally participants toward tangible actions like petitions and policy advocacy, while [Agent 2] focuses on organizing workshops that highlight unconscious biases and encourage inclusive behaviors."", 'explanation': 'This scenario aligns with the Easy difficulty level as both agents have cooperative goals that complement each other naturally. The context provides a clear, low-tension setting where their shared mission facilitates collaboration.'}"
